classe; mensagem 
1;não é que vale a pena perder tempo, você não tem argumentos para discutir!! 
2;falou a hipócrita! 
5;l10519 - presidência da república www.planalto.gov.br/ccivil_03/leis/2002/l10519.htm 
5;l10220 - presidência da república www.planalto.gov.br/ccivil_03/leis/leis_2001/l10220.htm 
4;olha quem está de volta: sacomita de maringay. não desgruda da gente mesmo hein? você deve ter tido uma desilusão amorosa com algum peão pervertido  certeza  (aaargh...!), por isto persegue tanto, a classe. já colou o ossinho? castigo. (levítico 20:13) 
1;tem q acabar c/ os rodeios q são sofrimentos dos animais, cultura ñ tem sangue e nem sofrimento, q é somente pra os humanos lucrarem c/ $$$$$$.ñ tá certo, existir rodeios dos sofrimentos. 
1;os fazendeiros do pará  estão dizimando a castanheira. agora entendo o motivo. 
2;vai procurar um asilo para você passar o resto da sua vida, porque tenho certeza que deve ser uma velha solitária!!! 
1;quando voces vão entender que homens se interagem com animais a milhoes de anos. 
2;seu cabeça atrofiada, tem q ter evolução contra a exploração de animais, pra lucros $$$$ de sdesumanos, desalmados, bota teus filhos la, q aí eu vou assistir eles servindo de palhaços. 
3;comemos animais também e não é voce que falar o que temos que comer 
1;eu ñ como animais q são vidas e alma, ñ sou cemiterio pra enterrar defuntos no estomago. 
1;quer me conhecer ao vivo..vamos conversar em outras redes sociais 
3;e a favor da morte,,é pra lá que vão animais que não vão para o rodeio. 
1;animais tem vida e alma, se vc acha q eles devem sofrer bote a tua,sua familia,parentes la no lugar dos animais, trepe,explore eles.os animais ñ. 
2;selma castanheira acho que você que ta querendo ser montada de 4, deve ser mais feia q o cão chutando manga e ninguém quer!! 
2;estas asneiras que dizem pode ser útil em um futuro, para a nossa defesa. mostrar isso que dizem, para um juiz, da pra ver que estão dizendo coisas sem ter experiência com animais e nunca virão, um rodeio. hoje tem muitas defesas a favor do rodeio, meu marido foi ferrar um cavalo e um ativista veio bravo que estava maltratando o animal, isso mostra a falta de experiência, o vídeo da discussão será mostrado em júri para mostrar que estão loucos para acabar com o rodeio é apenas acha, nos temos certeza, deixem falar besteiras, birra nos ofender, isso mostra quem são os ativista, veja o perfil de todos.
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;que absurto onde vc viu isso..se ja viu nos fale onde e quando..que horror falar coisas sem nunca ter visto. 
1;ativistas que protegem animais pediram na internet 300 mil reais para cuidarem de 40 porcos,,imagina quanto precisaria para cuidar de mais 15 mil animais de rodeio se o rodeio acabasse hoje. 
1;rodeio legal não mal trata animal 
5;http://www.votenaweb.com.br/projetos/plc-1767-2015 
1;"diga aí vcs do ""não"" o que será feito com os touros se acabar o rodeio? se são tão protetores assim, não vão deixar matar né? "
2;deputado de lixo foi comprado por os algozes por lucros $$$$$$ maldito bota a tua sua familia la canalha 
1;que véinha boca suja  legítima representante do morro do lá-vai-chumbo. deve ser mãe do finado girafales. fica ishpééérrrta, tia...! volta pro pancadão  esta não é a tua praia. 
2;nun parece a sônia abrão...??? 
2;vc é q ñ tem q existir no planeta terra só deus tem o poder de vida e morte e ñ vcs lixos humanos 
3;calma sônia abrão...  a sra. também têm aspecto humano (?), como a gente  a diferença é, que nós somos recicláveis  já vósmicê..., nem o dr. hollywood dá jeito. 
1;onde e quando vc viu de perto essa crueldade que vc esta mencionando 
2;dar choques, chutar prender os escrotos vc ñ acha q isto doe ñ????então bote a tua mãe lá pra prender as tetas dela la no rodeio q ai eu vou assistir, vai ser bem emocionante o rodeio 
1;talvez seria o que resolvesse o país nesse momento... porque esses bandidos, ex-presidiários que estão no poder tenho certeza que vão continuar roubando. a ditadura é ruim apenas para os vagabundos e bandidos, pessoas de bens não são afetadas. 
1;vcs fazendeiros estao classificados de bandidos do abuso e exploração dos animais, merecem cadeia já!!!! 
1;agora vocês seria os primeiros a si dar mal né!? porque regime militar ativistas não tem vez, ia ser os primeiros à entrar no pau kkkkkkkkk. torço para isso acontecer, ai cada um cuida da sua vida. 
2;quem é fak seu bosta,,mora em jacutinga minas gerais se quiser me conhecer ao vivo te passo meu endereço meu telefone e te ensino a ser homem,,sua frutinha 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
6;kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk 
1;gente este, esse deputado ta enganando ele foi comprado, por $$$$ pra continuar c as crueldades dos animais. 
1;ele também não escolhe virar comida! 
1;"digo o mesmo para o pessoal do ""sim"" que quando aparece um os outros somem! "
1;e algum animal escolhe morrer,, e nem por isso deixam de morrer, morrem milhares todos os dias nos frigorificos. 
2;seu bosta tenho nome e endereço posso falar com vc ao vivo quando e onde voce quiser,,vira homem babaca,, conheça antes de criticar,,se voce não gosta aprenda a respeitar quem gosta,,conheço animais de rodeio e tambem conheço como são tratados,,se quiser posso te mostrar quando e ahora que voce quiser,me passa como possso te encontrar e conversaremos ao viov por outras redes..o unico fake que deve ter aqui é voce seu idiota. 
1;com certeza o seu esporte é motorizado e não da publico por isso fala isso. 
2;e onde vc algum animal ser torturado sua babaca 
1;e só que faz é legal,,conheça antes de criticar nunca deve ter visto de perto como vivem e como são tratados animais de rodeio 
3;semana que vem, tem rodeio em: leme, jacutinga, nova resende etc... bora lá. e final de outubro, brasil, bem representado na final da pbr nos estados unidos. parem de ver crueldade que a .espanha causa aos animais, aqui é brasil. brasil ruraltv.com aprenda e assistam. 
3;é mesmo??? me diga algum rodeio do circuito pbr ou do circuito rancho primavera que na atualidade são os maiores, me fale alguma cidade desses circuitos que foi proibido!!! 
1;em maringá é permitido. dói né? na porta de casa. 
1;samantha, os touros de rodeio também são bem tratados, te convido para ir ver e filmar qualquer fazenda que tem touros de rodeios, digo os cavalos militares porque, como touros de rodeios são bem tratados e na hora das manifestações? vc quer que eu mostre eles em ação, desde, pedrada, paulada, bombas de gás etc isso é de seis a 10 hrs de trabalho. bem o vício dos cachorros e minha opinião. como vc tem a sua que maltrata os animais de rodeio eu tenho comigo que viciam os cães, ou vc vai me mostrar o contrário, é me de uma resposta do que farão com os touros depois que acabar o rodeio, só se vc tiver uma idéia brilhante para não matar os touros, assista: brasil ruraltv.com e aprenda um pouco, e barato de pagar de burra. 
2;hoje final de rodeio em , leme, tapiratiba, britânia, boituva, rinópolis etc... bora lá, pro rodeio quem gosta, quem não gosta come mais pouco, kkkk! 
1; o brasileiro eduardo aparecido, venceu neste último sábado, 05/09  a etapa da pbr, do rodeio de thackerville, oklahoma, eua. parabéns ao grande campeão. é o rodeio brasileiro exportando talentos. www.pbr.com 
2;exporta meretrizes também  mas não se iluda, seu prazo de validade, espirou. 
3;o lutador de box não se prepara? de luta livre ou qualquer outra atividade são preparados. os touros também, são bem alimentados e assistidos por veterinários, pronto! 
1;com toda certeza, concordo com você, só não entendi porque ta aqui ao invés de correr atrás dessas coisas importantes! 
1;olá elizete, ao votar não vc esta condenando o animal a morte ! porque nao criticam os animais que sofrem exemplo: os cavalos da polícia militar, os cães farejador, que eu digo que são viciado em droga e muitos dizem que não é o a mesma situação dizemos que eles não sofrem e vcs dizem que sofrem, se o touro de rodeio sofresse, os veterinários não daria a cara a tapa para defender essa causa. mas vcs acha conveniente deixar matar que procurar saber como é tratado de verdade um touro, cambada de covarde. 
3;brasil :#‎pbradamantina‬ ‪#‎expoverde2015‬ eua: hoje começa a etapa ‪#‎pbrthack‬ na cidade thackerville, oklahoma. o evento contará com a participação de 13 atletas brasileiros. acompanhem as emoções da etapa ao vivo pelo carbontv.com a partir de hoje as 22 horas horário de brasília. 
3;essa turminha do pliticamente correto tem tomar nota que não são deuses e tem que engoloir e aceitar a cultura e gosto popular brasil não é só futebol 
2;esses trouxas do não, vota sem noção, mau sabe eles o que irá acontecer com os touros, acho que pra eles a morte dos touros de rodeio em massa, sera uma vitória. votamos sim pelo rodeio porque amamos esses animais, já quem vota não, eu tenho certeza que nenhum tem experiência com animais de grande porte vê os bicho só imagem em tv,net e revista! sim é para garantir a vida desses touros, já que sem rodeio os touros será bife pra todos, mais é isso que vcs querem, e não vem tentar argumentar alguma coisa que eu disse, porque essa é a realidade, sim preserva o touro vivo, não será matado para nosso alimento, triste não! 
2;"tem que rir desses otarios do ""não "" eles fica denunciando todos os comentários do sim, será que eles acha que isso vai mudar alguma coisa!!??? ou é porque vocês não tem argumentos??? tem é que dar muitas risadas!! kkkkkkkkkkkkkkkkkkkkkkkkkklkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk"
1;atenção amigos do rodeio, guardem bem estes dois nomes: touro três namoradas - campeão brasileiro 2015  da cia. euripinho sollo  avaliado em r$ 1 milhão de reais. touro boca quente, da cia 3b, do bentinho  avaliado em r$ 312 mil reais (já estou até lendo: áiiih... um animal não deveria ter valor monetário.) ora. eles vão ser a sensação das próximas etapas  e vão fazer muito peão tremer. glória perez já está de olho. 
2;já ti falei não fica pagando de trouxa aqui com esses links de pessoas que apenas diz não gostar de rodeios.. pesquise à fundo o que está acontecendo... e para sua infelicade o rodeio ja foi remarcado e agora será mais dias além do que era!! será dois finals de semanas!!! tomaaaaaaaaaaaaaaa... 
2;"atenção ""ana"": falsa identidade: criar um perfil falso pode levar a processo judicial com base no artigo 307 do código penal brasileiro. "
5;http://www.agendaderodeio.com.br/2015/08/rodeio-de-carapicuiba-2015-remarcado.html?m=1 
3;falsa identidade: criar um perfil falso pode levar a processo judicial com base no artigo 307 do código penal brasileiro. 
2;digo o mesmo pra você!!! hipócrita 
1;verdade, jhones véi xonado  a hipocrisia tá cumendo sorta aquí  esta aí prefere o mcdonalds. e a gente num pode nem falá, que lá vêm ameaça de processo. 
1;e onde voce viu algum animal de rodeio ser torturado..se ja viu nos diga onde e quem era o proprietario..se não viu não fale coisas sem saber. 
1;parabéns ao nobre deputado!!!! não devemos nos calar diante desta ditadura esquerdista! apoiam o aborto e protegem os animais mais que os seres humanos!!! 
1;"atenção pessoal do sim  prestem bem atenção na pergunta que eu farei a seguir á srta. letícia ronche. muito bem  vamos lá: -srta. letícia ronche  inimiga do rodeio  protetora dos animais, ativista engajada, ""vegana"": o quê a srta. e mais quatro amiguinhas, estavam fazendo em 29/07 /15, (sorridentes, por sinal) na hamburgueria zé do hamburguer, no bairro das perdizes, em são paulo??? responda se conseguir, mas seja sincera, caso contrário vou entrar com uma ação que me permita publicar as fotos que, obtive legalmente, revelando a farsa do seu discurso contra o rodeio, e quem come carne. e não adianta excluir as fotos, porque já salvei as cópias. "
2;"ok você venceu, batata frita... (blitz). ora, srta. letícia  não subestime a inteligência desse pobre caipira, atrasado e ingênuo. a srta. encabeça uma verdadeira cruzada contra nossos costumes, tradições, e paixões  nos acusa de maltratar e explorar nossos heróis, que são os cavalos e, os touros de rodeio  deprecia o amor que temos por eles  amaldiçoa os pobres carnívoros  mas, no primeiro happy hour, a srta. se permite ser flagrada degustando um delicioso diner burguer. convenhamos, a srta. tem bom gosto  o zé do hamburguer é uma das melhores casas do ramo. srta. letícia com todo respeito a este seu rostinho meigo, mas as suas opiniões expostas nesta página são uma fraude. ""nada está encoberto nesta vida."" "
1;sabemos que sua intenção é boa,,mas se quer proteger algum animal vá atras de outros ,os de rodeio ja são muito bem cuidados..se caso voce quiser conhecer de perto posso te acompanhar e te mostrar varias fazendas onde se criam esse ipo de animal,garato que voce vai se surpreender. 
3;tudo bem, tá desculpado  más agora volte para a página..., sem você ,tá meio chato isso aquí. tenha mais cuidado, não exponha sua vida particular. não precisava ter me caguetado para a amanda japonesa  você sabia que ela é faixa-preta em karatê? 
2;se voce é vegetariana é problema seu,eu não sou e também não vou na sua casa de falar o que voce tem que comer..vai cuidar da sua vida..cada um come o quer.. ninguém come com seu dinheiro...tambem ninguém vai na sua casa te falar o que tem que beber que roupa tem que por e tc.... cuide da sua vida 
2;que mimimi heim amanda matsuda?? ninguém ti ameaçou, e você por ser estudada como diz, deveria saber interpretar mais, porque o que o leon paulino quis dizer em relação a sua amiga, é que ela si diz contra uma coisa, mas continua contribuindo para que isso continue!!! escolinha essa que você estudou ou estuda! 
1;"a recíproca é verdadeira srta. amanda  neste caso, nos veremos nos tribunais. sua amiga declarou guerra ao nosso segmento disparando comentários desnecessários, sistemáticamente  bastaria ter votado não, e escrever odeio rodeio  ninguém é obrigado a gostar de nada  mas ela abraçou uma causa para sí  e quando assumimos responsabilidades, devemos arcar com as consequências  o que ela queria  flores? apenas revidei à altura.ofendidos e ameaçados somos nós  a todo instante aquí, nesta página (principalmente por sua amiga), pelo simples fato de termos cultura e tradição, diferentes de vocês, doutos urbanóides civilizados  anti-proteína. quanto ao termo ""ameaça"", não cabe processo no assunto em tela  ninguém ameaçou a vida do outro, apenas mencionei publicar fotos  caso sua amiga não se justificasse  o que ela já fez de pronto  pois achei no mínimo curioso, o protetor devorar seu protegido. "
1;...nenhuma das pessoas daquela mesa é vegana. (trecho do texto da reclamante) 
1;abra os olhos brasil  brevemente os fanáticos sectários, do finado donald watson (foi banido da sociedade vegetariana, em razão de seu radicalismo - uma espécie de hitler comedor de alface), vão tentar acabar com nossa feijoada (patrimônio brasileiro) do sabadão, também  em defesa do três porquinhos. imaginem uma feijuca só com cereais, cogumelos e hortaliças  vou ficar só com a caipora. 
1;realmente muitas pessoas que criam esses animais oferecem para mostrar como vivem e como são tratados esses animais mas ninguém vai ver .só querem criticar. 
1;vamos conhecer antes de criticar 
1;interagir com animais não significa mau tratar animais 
1;isso aí, quem vota não, vcs vão tirar o sofrimento dos touros com certeza, só que a dor deles vai ser uma vez só, um tiro de ar na cabeça e já era. os políticos estão agitados com o rodeio mas não é para defender animais algum, e porque está tendo leilões caríssimo dos touros e não tem retorno algum para o governo, as festas não dá retorno pro governo, aí eles estão jogando uns contra os outros para cancelar o rodeio, só que não calcularam o que vai ser feito com os animais, que só quer o direito de viver. 
1;"kkkkkkkkk tava olhando aqui, esse pessoal do não é muito sem o que fazer mesmo, eles denuncia todos os comentários do ""sim"" mesmo que não seja ofensa à nada nem ninguém, ou será falta de argumentos ai denuncia nossos comentários??????????????????????? "
1;#partiuadamantina/sp. começa hoje, galera! itamonte..., dutra  castello branco, marechal rondon: rodeio de adamantina. 
3;leticia, tenta salvar os cavalos da policia militar e os caes que sao viciado em drogas ai depois vc se mete com os rodeios 
3;si vcs querem ajudar animais, porque não tiram nem os cachorros que passam fome e morrem de doentes das ruas? e outra coisa vocês acha que touros são animais silvestre que sobrevivem sozinhos? não são é outro mesmo os de abate gasta muito dinheiro em tratamentos, ninguém iria gastar grana si não tivesse retorno! isso que vocês querem so acontece no mundo da imaginação de vocês! 
3;acreditamos nos seus ideais ,mas ainda esta muito distante os seus desejos,humanos ainda comem animais e talvez isso ainda vai acontecer por muito tempo.usar animais não significa mau tratar animais 
3;fique calma,animais de rodeio são muito bem tratados,,se quiser conhecer de perto existe uma fazenda em botucatu do senhor ricardo bento que esta a disposição e ainda te paga todas as dispezas aasim pdera ver de perto como vivem e como são tratados 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;aprenda um pouquinho de como vivem e como são tratados animais de rodeio,saiba também para onde vão os que não são de rodeio..va conhecer uma fazenda onde cria esses animais,garanto que voce vai se surpreender.. 
1;eu também acredito que um dia vou ser o homem mais rico do mundo.... mesmo sabendo que não tem essa possibilidade!!! afinal sonhar com alguma coisa boa é melhor que ficar pensando coisas maléficas né!? 
1;vc acha que tirando gatos e cachorros da rua e fechando eles dentro de um apartamento em uma prisão perpétua estara deixando eles felizes.mas isso é natural não é porque voce tirou a libertade deles que vc está mau tratando eles. 
3;fui visitar muitos canil e vi centenas de animais amontoados com agua e comida voce acha que isso é felicidade..cachorros loucos para passearem,isso para mim é mais uma prisão perpétua do que cuidados. 
5;https://www.youtube.com/watch?v=ktg-opmi47o senhorita leticia ronche,assista e aprenda um pouquinho por favor 
1;a loucura das pessoas nesse site é de dar medo.agora a senhorita leticia ronche quer que os animais sejam livres e soltos em lugares para viverem sozinhos até a morte 211 milhos cabeças de gado.14 milhoes de ovinos,35,2 milhoes de suinos,, se para cuidar de 40 porcos os ativistas pediram na internet 300 mil reais imagina para cuidar 35,2 milhoes de cabeça. 
1;interagir com animais não significa mau tratar animais,, o simples fato de voce conviver com gatos voce esta interagindo com gatos. 
1;os ativistas que querem proteger tanto os animais precisam de 300 mil para cuidar de 40 porcos,,quantos precisariam para cuidar de 211 milhoes de cabeça de gado que tem no rebanho brasileiro.. 
3;essa dos porcos foi de doer!! 
1;as pessoas por aqui acham que os animais que não são selecionados para o rodeio vão para um zoologico ou para alguma savana..acorda vão para os frigoríficos... 
1;por que alguém teria um animal de 1 tonelada que tem um custo altíssimo por mês? não faz sentido letícia 
1;em que mundo vc ta bem,,acorrrda somos um pais agricola e milhares de animais são abatidos todos os dias,pessoas ainda comem carne,,voce sabe quanto custa a manutençao de um animal dese por mes,,pessoas no campo não estão ganahmdo nem pra comprar comida direito quanto mais para deixarem animais morrerem no pasto,,parece que toma reme´dio estragado,acorda para realidade,,seria bom se fosse real, 
1;em que planeta voce está minha querida. esse lugar que voce está imaginando não existe,,touros mestiços tem 2 opiçoes na vida serem de rodeio ou serem mortos,,sendo de rodeio alguns animais conseguem aposentar em algum asilos de touros como ja existem alguns,,alguns tropeiros não matas seus touros mais famosos ele vão para um pasto separado e vivem a té a morte natural chegar,,apenas alguns,, seja real,,viva nesse mundo. 
2;nossa moça me desculpa mas voce anda tomando remédio controlado,olha as coisas que voce fala,,voce ja foi no campo,voce tem ideia de como vivem e como são tratados animais..estamos no planeta terra,ano de 2015..brasil,,por favor acorda,, pare de sonhar e ter alucinaçoes. 
1;você tbm diz amar os animais, você teria um boi de 1 tonelada ai na sua casa? 
3;essas raças são dependentes sim, e como vc mesmo disse precisam de espaço, espaço esse que seria utilizado para outra coisa ja que a pessoa utiliza aquelas terras para sustentar a familia 
3;moça de deus vc tem problema,animais precisam de tratamento,contra carrapatos,vermes , e outros parasitas onde e em que lugar eles viveriam sozinhos até morrer,só em asilos de touros de rodeio ai sim teriam a chance de sobreviver até a morte chegar. 
3;cuidaria,,mas não cuida de nenhum,,fica tranquila eles ja são bem cuidados 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
2;os animais que não são selecionados para o rodeio vão para o frigorifico e só na cabeça desses ativistas que a morte é melhor que a vida. 
2;deixe de ser louca e sonhar o rebanho brasileiro pe de mais 211 milhoes de cabeça de gado vc os libertariam e colocariam onde na sua casa. 
3;vai me desculpar mas são só essas duas opções mesmo, ou vira um atleta de rodeio bem cuidado, bem tratado ou delicioso e suculento espeto de picanha 
3;acorda,,voce quer livrar eles e mandar para onde.para um kilombo 
1;voce sabe para onde estará mantando os animais de rodeio se acabarem os rodeios. 
1;voce sabe para onde vão os animais que não vão para os rodeios.. 
5;https://www.youtube.com/watch?v=6p4v7ygug-m 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;vamos conhecer antes de criticar. 
1;rodeio legal não mau trata animal 
1;todo mundo explora animais, até quem tem o cachorrinho em casa , isso vai muito além do rodeio 
3;e voce acha que a morte seja o melhor caminho,porque é para um frigorifico que vão animais que não são selecionados para o rodeio. 
3;se vc soubesse para onde vão quando não são de rodeio,,vc est condenando eles a morte porque é para matadouro que vão os que não são de rodeio..acorda para vida..ta tomando remédio estragado. 
1;concordo, mas pau que da em chico tem que dar em francisco essa revolta não pode valer apenas contra o rodeio como eu vejo, isso é preconceito. 
1;então comece pelos humanos que estão sendo mortos pro um celular ou um par de tenis,,comece a fazer alguma coisa desde ja. 
1;diz aí norma é vitoria o que deve ser feito com os animais quando acabar o rodeio, será que vcs lutarão para que não matem, vcs não olha nem os cachorros de rua! 
3;comece pelos humanos porque não estamos podendo nem sair na rua que somos mortos por um celular ou pela carteira. 
3;e onde vc viu algum animal ser torturado,em qual evento e quem eram os proprietários. 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;show uma festa o barretos 2015 , pude acompanhar de perto os dois últimos dias e em todos esses anos nunca tinha visto nada igual . parabéns a todos os organizadores do evento e as companias de rodeios presentes ! um forte abraço a galera bruta que puderam prestigiar o barretos esse ano e a quem não foi também. ano que vem tem dinovo ! #60 anos #barretos #nada igual 
1;boa noite aroudo. segundo o dr. drauzio varella: inveja causa depressão, dores musculares , doenças cardiovasculares , enxaquecas, erpis, problemas respiratórios, febre amarela, chagas , gripe do frango e anciã de vômitos. contra estes sintomas tomas dipirona 3 vezes ao dia . se persistirem os sintomas o batman deverá ser consultado 
1;kkkkkk, vi falar que vão convidar a rita lee, para fazer o show em benefício ao hospital do câncer de barretos 2016, melhor ela nem ir, vai ser o pior ano de arrecadação! 
1;eita você contra rodeio! diz aí, o que vcs vão fazer com os touros, se não houver mais rodeio? já sei, vão matar ou soltar na floresta, tem só que matar porque a carne não serve como alimento é dura. hummmm, atitude covarde, querer acabar com rodeio é não saber o que será feito com os animais, aliás cavalo de polícia sofre mais que boi de rodeio é ninguém tá reclamando, se protege um proteja outros, ou vcs tem medinho por ser militares? 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;rodeio 100 % bons tratos,,garanto que qualquer animal prefere ir para o rodeio do que para o frigorifico 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
5;https://www.youtube.com/watch?v=ktg-opmi47o 
1;concordo com você, si eles soubesse falar iriam dizer que preferem pular em rodeios e ser admirados e valiosos ao invés de serem abatidos e virarem comida! 
1;você não, cai fora ! deixa isso com homens de verdade. viva os rodeios , o mundo equestre, nossas modas e nosso sertanejao raiz , viva nossos costumes e nossas tradições... e viva nossos touros puladores ! 
1;comece pela porta dos frigorificos então. 
1;temos que conhecer antes de criticar,,pessoas por aqui falam muita coisa sem nunca ter visto de perto 
5;https://www.youtube.com/watch?v=6p4v7ygug-m vejam um pouquinho de como vivem esses animais 
1;po acaso vc conhece como vivem e como são tratados os animais de rodeio,sabe também para onde iriam se não fossem de rodeio, 
1;aquí estão os direitos dos animais de rodeio, minha sra.: l10519 - presidência da república www.planalto.gov.br/ccivil_03/leis/2002/l10519.htm 
1;realmente estamos no seculo xxi e ainda não temos nem o nosso direito pessoas são mortas todos os disa em assaltos, não podemos circular com um tenis bom nem com uma corrente de ouro que somos assaltados,,o brasil é assim mesmo.fica calma 
1;está no mesmo direito de você poder ter um cão ou um gato . onde você da água , comida, amor e carinho sem de fato saber se ele está feliz , sem saber se de fato ele concorda com tudu que oferece a ele :@ pelo amr de deus, estamos no século xx1 onde fica o direito dos animais ? 
2;futebol..., rock and roll, seu wiskinho do paraguai, seu terninho amarrotado made in china, também não são originários daquí  nem por isso deixamos de adotar. globalização cultural. somente os corruptos aí da sua cidade, que, realmente são cosa nostra. 
6;kkkkk , 
1;rodeio em vargem grande do sul sp, tapiratiba sp, leme sp, nova resende mg, etc... tudo isso em setembro, bora. 
1;meu deus, quantas vezes tem que dizer que sedem não aperta testículo, para os falta de informação, vai aí uma dica! pega seu cachorro ou gato, aperta o saco dele 8 segundos para ver a reação, zzzzzzzzzzzzzzzzz. muito bem , qual a reação? hummmm nem saiu do lugar por motivo da dor né. e isso aí, o boi ou cavalo que tem o saco apertado ele nem sai do lugar ele senta. coloca seu marido ou namorado de 4, aí vc vai ver onde o sedem passa, em um lugar conhecido no vaziu, propriamente dito cintura, um lugar sensível a cócegas nos animais e se fosse forçado teriam que laçar para tirar o sedem mas ele para de pular depois dos 8 segundos isso é devido a treinamento como é feito a doma o mesmo para touros só que ensina eles a pular. 
1;pessoas por aqui dão depoimento sem conhecer,como a senhorita erica coser que acha que animais de rodeio tem suas bolas apertadas,,antes de falar vamos conhecer !!!!!que ridiculo falar coisas sem saber 
1;o rodeio de barretos levantou mais de 1o milhoes para o hospital do cancer de barretos,,e isso nenhum ativista viu nem comentou,,espero e peço a deus que nenhum de voces precisem dele,,pois se precisarem saberão que a festa de barretos é o maior colaborador que o hospital tem 
3; são essas opiniões que da raiva nas pessoas,,falarem coisas sem saber.onde é que voce viu algum animal com seu saco amarrado..não fale coisas sem saber,animais de rodeio não tem seus testiculos amarrados,,conheça antes de falar 
3;graças a pessoas como vc nosso esporte fica mau falado..nos diga onde e quando voce viu algum animal com seu saco apertado..se nunca viu porque fala...se não gosta respeite quem gosta e pelo menos aprenda antes de falar 
1;pessoas como voce não deveriam dar seus depoimentos sem conhecimento de causa..voce ja viu algum animal com suas bolas apertadas. 
1;vamos aprender antes de falar besteiras,,saiba que existem muitas familias que vivem de rodeios,tome cuidado ao falar coisas sem saber voce pode estar prejudicando alguém 
1;o profissional do direito  deveria no mínimo conhecer as leis  antes de questioná-las. vamos lá..., uma aulinha grátis. l10220 - presidência da república www.planalto.gov.br/ccivil_03/leis/leis_2001/l10220.htm. l10519 - presidência da república www.planalto.gov.br/ccivil_03/leis/2002/l10519.htm 
1;se por acaso voce viu algum animal com as bolas amarradas nos diga onde foi.não fale coisas sem saber não de palpites azedo 
