Opinião; mensagem
3;em qual rodeio voce foi mesmo,qual animal voce viu extressado ??
1;Parabens povo do rodeio,mais uma vitoria,quem não gosta deveria conhecer de perto e se apaixonar tambem,rodeio é a festa da familia,,animais saudaveis com vida de atletas
4;Porque sera que a Ana esconde tanto seus animais .
4;Ana dos animais,queremos ver seus animais !!!!!!!!!!!
3;Aprovado o projeto na camara dos deputados,,porque sera que só ficou um ativista até o final da seção ,,porque com certeza só falaram coisas que não sabiam.
1;Mais uma vitória do povo que mantém suas tradições.
3;Parabéns Capitão Augusto pela vitoria,,te esperamos nas festas do peão.quem não gosta é só não ir,,cada vai onde gosta..
4;Senhora Ana dos Animais,,muita gente aqui querendo saber,,cade seus animais ???
5;Acabando??? Onde??? Segue uma pequena demonstração: AGENDA DE RODEIOS 2016 Confira a Agenda de Rodeios 1016, se você gostaria de divulgar o seu evento envie um email para nos contato@nacionalcowboy.com Todas as datas de rodeios postadas aqui estão sujeitas a alteração antes de se programar entre em contato com organizador oficial do evento na cidade. JANEIRO: 01 À 15: FESTA DO PEÃO DE IGUAPE/SP 18 À 21: JOSÉ BONIFÁCIO RODEO INDOOR 18 À 22: RODEIO DE MANDURI/SP 14: 1° ETAPA CIRCUITO CIMT - ITAPAGIPE/MG 05 À 08: FESTA DO PEÃO DE SÃO JOÃO DO CAIUÁ/PR 11 À 15: FESTA DO PEÃO DE SANTA CRUZ DO RIO PARDO/SP 12 À 15: ENCONTRO DE COWBOYS BAIRRO DOS BINOS, CONCHAS/SP 20 À 22: RODEIO RURAL DE POLONI/SP 24 À 29: FESTA DO PEÃO DE BURI/SP 26 À 29: EXPO MONTE CASTELO - MONTE CASTELO/PR 26 À 29: FESTA DO PEÃO DE JABORANDI/SP FEVEREIRO: 02 À 05: FESTA DO PEÃO DE DOURADINA/PR 05 A 08: RODEO FEST PARAGUAÇU/SP 02 À 05: RODEIO NACIONAL MARACAJU/MS VALDIR DE BRITO 09 À 12: FESTA DO PEÃO DE CORGUINHO/MS 09 À 12: FESTA DO PEÃO DE LUPÉRCIO/SP 09 À 12: FESTA DO PEÃO DE LUIZIÂNIA/SP 10 À 12: FESTA DO PEÃO DO VALE FORMOSO - DISTRITO DE NOVO HORIZONTE/SP 18 Á 20: FESTA DO PEÃO DE SALMOURÃO/SP 23 Á 26: 7° BOA ESPERANÇA RODEIO FEST - DRACENA/SP MARÇO: 01 À 04: FESTA DO PEÃO DE PARANAPUÃ/SP 01 À 04: RODEIO BENEFICENTE DE LAGOA LIMPA - ITAJOBI/SP 02 À 04: FESTA DO PEÃO DE PALMEIRA/PR 02 À 04: RODEIO MUNICIPAL DE ITARUMÃ/GO 08 À 11: FESTA DO PEÃO DE ITAPORANGA/SP 08 À 11: ELDORADO RODEIO FESTIVAL 08 À 11: FESTA DO PEÃO DE ANGATUBA/SP 08 À 11: FESTA DO PEÃO DE LUPIONÓPOLIS/PR 08 À 11: FESTA DO PEÃO DE CAMPOS NOVOS PAULISTA/SP 08 À 11: FEAPS - PILA DO SUL/SP 09 À 11: 20° RODEIO DE PIRANGI/SP 08 À 11: RIO RODEO FEST - RIO BRILHANTE/MS 08 À 10: 2° PRÉ RODEIO DE SEBASTIANÓPOLIS DO SUL/SP 08 À 11: RODEIO DE ARCO-IRIS/SP 13 A 15: RODEIO DE MARY DOTA - BAURU/SP 18 À 22: EXPOMAAR - ARANDU/SP 15 À 18: FESTA DO PEÃO DE GUAREI/SP 15 À 18: EXPOAL - ALTINÓPOLIS/SP 15 À 18: EXPOAGRO - ARARAS/SP 15 À 18: FESTA DO PEÃO DE ITAPIRAPUÃ PAULISTA/SP 15 À 18: FESTA DO PEÃO DE FLORA RICA/SP 15 À 18: ENCONTRO DE COWBOYS DE QUEIROZ/SP 15 À 17: FESTA DO PEÃO DE PARANAVAÍ/SP 15 À 17: EXPO DE ROBERTO/SP 17 À 21: FESTA DO PEÃO DE IPERÓ/SP 21 À 25: FESTA DO PEÃO DE CORONEL MACEDO/SP 21 À 25: FESTA DO PEÃO DE IPERÓ/SP 22 À 25: FESTA DO PEÃO DE RIBEIRÃO GRANDE/SP 22 À 25: FESTA DO PEÃO DE NOVA GRANADA/SP 22 À 25: FESTA DO PEÃO DE SÃO MIGUEL DO ARAGUAIA/GO 22 À 24: FESTA DO PEÃO DE MONÇÕES/SP 22 À 25: FESTA DO PEÃO DE CAPELA DO ALTO/SP 22 À 25: FESTA DO PEÃO DE PRACINHA/SP 22 À 25: FESTA DO PEÃO DE CAMPO LIMPO PAULISTA/SP 22 À 25: RODEIO DE CIANORTE/PR 22 À 25: FESTA DO PEÃO DE OURO VERDE/SP 23 À 01/04: FESTA DO PEÃO DE COLORADO/PR 24 À 27: FESTA DO PEÃO DE MONTE SIÃO/MG 27 À 30: FESTA DO PEÃO DE BENTO DE ABREU/SP 29 À 08/4: FESTA DO PEÃO DE COTIA/SP ABRIL: 09 A 12: FESTA DO PEÃO DE PACAEMBU/SP 11 À 15: FESTA DO PEÃO DE JALES/SP 12 À 15: FESTA DO PEÃO DE PATROCÍNIO/MG 12 À 14: RODEIO FESTIVAL DE MAJOR PRADO - ARACANGUÁ/SP 12 À 15: FESTA DO PEÃO DE CAFELÂNDIA/PR 12 À 15: FESTA DO PEÃO DE PARAIBUNA/SP 12 À 15: FESTA DO PEÃO DE BARBOSA/SP 12 À 15: FESTA DO PEÃO DE PACAEMBU/SP 12 À 15: FESTA DO PEÃO DE HELIODORA 12 À 15: FESTA DO PEÃO DE SÃO ROQUE/SP 19 À 22: 1° FEPAR - FESTA DO PEÃO DE RAFARD/SP 19 À 22: RODEIO DE PÉROLA/PR 19 À 22: FESTA DO PEÃO DE FLORAÍ/PR 19 À 22: PENÁPOLIS RODEIO SHOW 20 À 24: ITANHAÉM RODEIO FESTIVAL - ITANHAÉM/SP 22 À 25: FESTA DO PEÃO DE PASSOS/MG 26 À 29: FESTA DO PEÃO DE ITABERÁ/SP 26 À 29: FESTA DO PEÃO DE PARAÍSO/SP 27 À 30: FESTA DO PEÃO DE UBIRAJARA/SP 26 À 30: FESTA DO PEÃO DE APARECIDA DO TABOADO/MS 29 À 31: RODEIO DE UCHÔA/SP 29/03 À 01/04: FESTA DO PEÃO DE INOCÊNCIA/MS 30/04 à 05/05: RODEIO DE SANTA CRUZ DAS PALMEIRAS/SP MAIO: 03 À 06: LAGOA FORMOSA/MG 03 À 08: FESTA DO PEÃO DE ALFENAS/MG 03 À 06: FESTA DO PEÃO DE APARECIDA DO RIO DOCE/GO 03 À 06: FESTA DO PEÃO DE OURO VERDE DO OESTE/PR 09 À 13: FESTA DO PEÃO DE CAPÃO BONITO/SP 10 À 13: EXPOJARINU - JARINU/SP 10 À 13: FESTA DO PEÃO DE IRACEMÁPOLIS/SP 10 À 13: FESTA DO PEÃO DE BORACÉIA/SP 10 À 13: FESTA DO PEÃO DE RIBEIRÃO DO SUL/SP 10 À 13: FESTA DO PEÃO DE CACHOEIRA PAULISTA/SP 10 À 13: FESTA DO PEÃO DE BOFETE/SP 11 À 13: FESTA DO PEÃO DE TACURU/MS 17 À 19/05 LAVRAS RODEIO FESTIVAL, LAVRAS/MG 17 À 20: RODEIO DE PENÁPOLIS/SP 17 À 20: GETULINA/SP 17 À 20: FESTA DO PEÃO DE ALAMBARI/SP 17 À 20: FESTA DO PEÃO DE PIRATININGA/SP 17 À 20: FESTA DO PEÃO DE SANTA BRANCA/SP 19 À 27: SILVIANÓPOLIS RODEIO SHOW - SILVIANÓPOLIS/MG 23 À 27: GUMARÂNIA COUNTRY FEST - GUIMARÂNIA/MG 23 À 27: VALPARAISO RODEIO SHOW 24 À 27: RODEIO DE VALPARAÍSO/SP 24 À 03/06: DIVINAEXPO - DIVINÓPOLIS/MG 24 À 27: FESTA DO PEÃO DE AVAÍ/SP - 3° AVAÍ RODEIO SHOW 24 À 27: FESTA DO PEÃO DE GLÓRIA D'OESTE/MT 25 À 27: FESTA DI PEÃO DE CORUMBATAÍ DO SUL JUNHO: 01 À 03: RODEIO FEST DE POTIRENDABA 01 À 03: FESTA DO PEÃO DE SONORA/MS 06 À 10: EXPOVERDE - CAMPO VERDE/MT 06 à 10: ALTO HORIZONTE RODEIO SHOW - ALTO HORIZONTE/GO 06 À 10: FECIAGRO E RODEIO ITUIUTABA/MG 06 À 10: EXPOSUL CHAPADÃO DO SUL/MS 07 À 10: FAPI OURINHOS/SP 07 À 10: FESTA DO PEÃO DE QUATÁ/SP 07 À 10: EXPO NOVA MUTUM./MT 07 À 10: RODEIO DOS CAMPEÕES (FENAMILHO) PATOS DE MINAS/MG 07 À 10: FESTA DO PEÃO DE OURINHOS/SP 07 À 09: ITUVERAVA RODEIO SHOW 14 À 17: RODEIO SHOW DE SANTO ANTÓNIO DO ARACANGUÁ/SP 14 À 17: GAÚCHA RODEIO SHOW - CIDADE GAÚCHA/PR 14 À 17: FESTA DO PEÃO DE SÃO MANUEL/SP 14 À 17: FESTA DO PEÃO DE TRÊS LAGOAS/MS 14 À 17: RODEIO SHOW DE MARTINÓPOLIS/SP 15 À 19/06 FESTA DO PEÃO DE CAMANDUCAIA/MG 15 À 17: RODEIO DE TOLEDO/MG 17 À 26/06 FESTA DO PEÃO DE AMERICANA/SP 21 À 24: ADAMANTINA INTERNACIONAL RODEO 21 À 24: FESTA DO PEÃO DE SALTO DE PIRAPORA/SP 21 À 24: FESTA DO PEÃO DE LUCIANÓPOLIS/SP 21 À 24: FESTA DO PEÃO DE GETULINA/SP 21 À 24: BOM REPOUSO RODEIO FESTIVAL/MG 21 À 24: AIR ADAMANTINA/SP 22 À 24: RODEIO ANÍSIO DE MORAES - BOITUVA/SP 28 À 01/7: PINDORAMA RODEIO SHOW - PINDORAMA/SP 28 À 01/07: RODEIO DE MUNHOZMG JULHO: 04 À 08: RODEIO DE SÃO PEDRO DO TURVO/SP 04 À 07: TANABI RODEIO SHOW - TANABI/SP 05 À 08: BARREIRAS/BA 05 à 09: EXPOJAC JACUPIRANGA/SP 05 À 08: BROTAS RODEIO FESTIVAL 06 À 15: FESTA DO PEÃO DE SÃO JOÃO DA BOA VISTA/SP - 39° EAPIC 06 À 15: FESTA DO PEÃO DE ITAPECERICA DA SERRA/SP 06 À 15: RODEIO DE SERTÃOZINHO/SP 06 À 09: FESTA DO PEÃO DE RIO DAS PEDRAS/SP 05 À 08: FESTA DO PEÃO DE SÃO PEDRO DO TURVO/SP 15 À 19: FESTA DO PEÃO DE CAMANDUCAIA/MG 12 À 15: FETEXAS - JACAREZINHO/PR 12 À 15: CAMANDUCAIA COUNTY FEST 12 À 15: CAIPIRAÇO RODEIO SHOW - APARECIDA DO TABOADO/MS 12 À 15:FEPAC ÁGUA CLARA/MS 12 À 15: FESTA DO PEÃO DE TABAPUÃ/SP 13 À 23: EXPOSIÇÃO AGROPECUÁRIA DE RIO VERDE/GO 17 À 22: FESTA DO PEÃO DE ITAPIRA 18 À 22: FESTA DO PEÃO DE IBIÚNA/SP 18 À 22: EXPOITA ITARUMÂ/GO 19 À 22: FESTA DO PEÃO DE CAPIVARI/SP 19 À 22: FESTA DO PEÃO DE LOURDES/SP 19 À 22: TRÊS CORAÇÕES RODEIO SHOW - TRÊS CORAÇÕES/MG 25 À 29: FESTA DA BATATA DE VARGEM GRANDE DO SUL/SP 18 À 22: FESTA DO PEÃO DE MORRO AGUDO/SP 21 À 29: EXPOARI - ARIQUEMES/RO 21 À 29 EXPOAGRO GOIATUBA/GO 25 À 29: EXPOTÃ - GUARANTÃ DO NORTE/MT 25 À 29: FESTA DO PEÃO DE SÃO FIDÉLIS/RJ 26 À 29: EXPOPRATA PRATA/MG 27 À 29: FESTA DO PEÃO DE INÚBIA PAULISTA/SP AGOSTO: 03 À 05: RODEIO DE BACURITI/SP 01 À 05: EXPO LEÓPOLIS 01 À 05: EXPOFRUTAL - FRUTAL/MG 02 À 05: FESTA DO PEÃO DE SALTO GRANDE/SP 02 À 05: RODEIO DOS CAMPEÕES DE NOVA ALVORADA DO SUL/MS O4 A 12: FESTA DO PEÃO DE JUINA/MT 04 À 12: FESTA DO PEÃO DE PONTES E LACERDA/MT 08 À 12: FESTA DO PEÃO DE PIRACICABA/SP 08 À 12: EXPOSHOW POTIRENDABA/SP 08 À 11: FESTA DO PEÃO DE MONTE APRAZÍVEL/SP 08 À 12: FEIRA AGROPECUÁRIA DE COLÔMBIA/SP 09 À 12: 3° ITAPEVA COUNTRY FEST - ITAPEVA/MG 08 À 11: FESTA DO PEÃO DE CAMPO LIMPO DE GOIAS/GO 09 Á 12: CAIUÁS RODEIO SHOW - RIO BRILHANTE/MS 09 À 12: FESTA DO PEÃO DE SOCORRO/SP 09 À 12: FESTA DO PEÃO DE SANTO ANTONIO DO JARDIM/SP] 09 À 12: EXPOFEIRA JUIZ DE FORA/MG 09 À 12: FESTA DO PEÃO GIGANTE VERMELHO - CÂNDIDO MOTA/SP 09 À 12: FESTA DO PEÃO BARRA DO BUGRES/MT 06 À 12: CACONDE RODEIO SHOW 15 À 19: FESTA DO PEÃO DE BURITAMA/SP 16 À 19: FESTA DO PEÃO DE PARAÍSO DAS ÁGUAS 16 À 19: RODEIO DE JAPURÁ 23 À 26: FESTA DO PEÃO DE RUBIÁCEA/SP 23 À 28: FESTA DO PEÃO DE ITARARÉ/SP FAPI 26 À 29: FESTA DO PEÃO DE TUJUGUABA - CONCHAL/SP SETEMBRO: 01 À 09: EXPOACRE - ACREÚNA/GO 04 À 08: BOITUVANA - BOITUVA/SP 06 À 19: FESTA DO PEÃO DE ITAPUI/SP 06 À 15: FESTA DO PEÃO DE ITU/SP 06 À 09: FESTA DO PEÃO DE BORBOREMA/SP 06 À 09: FESTA DO PEÃO DE RIBEIRÃO DO PINHAL/PR 11 À 16: FESTA DO PEÃO DE SÃO JOSÉ DOS PINHAIS/SP 12 À 15: LUIZ ANTONIO RODEIO SHOW 12 À 16: FESTA DO PEÃO DE POMPÉIA/SP OUTUBRO: 11 À 14: FESTA DO PEÃO DE BERNARDINO DE CAMPOS/SP 12 À 16: EXPO ARTUR - ARTUR NOGUEIRA 17 À 21: FACI - INDAIATUBA/SP 17 À 21: ONDA VERDE RODEIO SHOW 26 À 28: FESTA DO PEÃO DE XAMBRÊ 25 À 28: FESTA DO PEÃO DE BOM SUCESSO DE ITARARÉ/SP NOVEMBRO: 01 À 04: FESTA DO PEÃO DE PILAR DO SUL/SP CTC 01 À 04: FESTA DO PEÃO DE TAGUAI/SP 01 À 04: FESTA DO PEÃO DE TERRA ROXA 08 à 11: FESTA DO PEÃO DE SÃO JORGE DO PATROCÍNIO/PR 08 À 11: RODEIO DE SANTO ANTONIO DA BARRA/GO 08 À 11 ARUJA RODEIO FEST - ARUJA/SP 07 À 10: BADY BASSIT RODEIO FESTIVAL - BADY BASSIT/SP 15 À 18: FESTA DO PEÃO DE JULIO MESQUITA/SP 14 À 17: FESTA DO PEÃO DE COROADOS DEZEMBRO: 06 À 09: FESTA DO PEÃO DE TATUÍ/SP 13 À 16: FESTA DO PEÃO DE SERTANEJA/PR 26 À 30: 1° RODEIO ENTRE AMIGOS - SÃO PEDRO DO TURVO/SP
1;vai procurar sua turma,que lá voce sera mais feliz
4;tem muita gente querendo saber porque voce esconde tanto seus animais.. os de rodeio estão disposição de quem quiser conhecer de perto quando e hora que quiserem
3;vc que fala tanto que animais de rodeio são maltratados,nos mostre seus animais,,gostariamos muito de aprender como devem ser tratados os animais,,pelo jeito só voce sabe como cuidar deles
4;e voce sera que é mais uma daquelas que ganha dinheiro o custas de animais fantasmas ??
4;RODEIO DE JAGUARIUNA 2015 BATEU O RECOD DE PUBLICO DOS ULTIMOS 6 ANOS,,AI PERTINHO DA SUA CASA VOCE NÃO FOI LÁ CONFERIR ?
2;Vice presidente da ong de guararapes e de araçatuba que cuida de animais carentes foi multado por maus tratos,,gente boa e gente ruim tem em todo lugar..
1;Cultura ,cada um tem a quer,vamos respeitar as diferenças
1;Obrigado Capitão Augusto pela dedicação ao povo sertanejo..
1;o povo sertanejo, agradece !!!!! Parabens Capitao Augusto
1;Viva o Rodeio e seus animais cada vez mais cuidados e bem tratados!!
1;Mais uma vitoria do povo sertanejo.
3;Parabéns Capitão,,esses ativistas não sabem nem respeitar os humanos quem dirá os animais
3;Parabéns capitao augustos,,as pessoas tiveram a oportunidade de irem na camara e não foram,agora ficam dando palpite azedo,as que foram no debate foram vencidas ,agora aprendam a respeitar.
2;Escroto deve ser pai ou sua mae que não te deu educação para respeitar os gostos alheios,quem te disse que o que voce gosta é certo ?? Por acaso alguém da palpite na sua vida..
2;ESCROTO DEVE SER VOCE
1;Parabéns capitao,projeto aprovado na camara dos deputados.
3;Para quem gosta,, parabéns capitao augusto,projeto de lei aprovado na camara dos deputados,,para quem não gosta,, deveriam conhecer de perto como vivem e como são tratados esses animais.
1;Parabéns Capitão Augusto
1;Aprovado o projeto de lei nº 1767/2015 na camara do deputados Valeuuuuu Capitão Augusto
2;vai te catar rapazzz,,vai procurar sua turma,,querendo voce ou não,gostando ou não,nao vai ser voce quem vai parar de fazer a gente comer carne e interagir com animais,,não perca seu tempo com pessoas que não são como voce,aprenda a respeitar as diferenças,,ninguém aqui da palpite na sua vida.. va fazer o que voce gosta e deixem as pessoas em paz,,olha o tanto de depoimento seu que tem nesse site e serviu pra que,,as festas continuaram e projeto foi aprovado na camara dos deputados.
4;Eu tambem gostaria muito de conhecer os animais da dona Ana dos animais e mostrar os meus ,,os meus estão em amparo bem pertinho de campinas da casa dela,, quando quiser trocar conhecimento podemos nos encontrar ,assim conhecemos os seus animais e voce conhece os nossos,vamos o que tem de tão diferente no tratamento do seu,os meus tem medico veterinario,ração balanceada e nutricionistas,os seus devem comer no restaurante vegetariano..
3;também gostaria muito de conhecer os animais da senhora Ana dos animais,,porque conheci alguns de algumas ongs e decepcionei muito com o que vi.. depois comparamos com centenas de animais de rodeio que gostariamos muito de te apresentar,animais que são tratados como verdadeiras estrelas,assim podemos comparar como vivem os seus e os nossos.
3;Senhora Ana dos animais,,meus animais estão a sua disposição para quando quiser visitar,mas por favor nos mostre os seus animais,,ou voce é uma daquelas pessoas que ganham dinheiro protegendo animais que não tem ?
4;Ana dos animais,por favor nos mostre seus animais,,cade eles sera que são invisiveis ????
3;Rodeio brasileiro a um passo de virar patrimonio cultural.. quem não gosta deveria ao menos respeitar quem gosta.
1;Parabéns Capitão,excelente vitoria na câmara dos deputados quem assistiu viu que foram espetaculares seus argumentos .
4;A ANA DOS ANIMAIS VOLTOU ,SERA QUE AGORA ELA RESOLVEU MOSTRAR PRA NOS OS SEUS ANIMAIS.
4;Ana dos animais cade seus animais ???
3;Nao seja desenformada dona ana,,foi aprovado com a maioria dos votos na câmara dos deputados o projeto do capitao augusto,e por sinal no fim do debate sobrou apenas uma ativista,ainda com argumentos toscos que não confenceu ninguem..fique a par da coisas.
4;Senhora ana doa animais desenformada avisa tambem o senhor tripoli que em um congresso mundial realizado entre ativistas e amantes do rodeio na cidade de barretos,foi descoberto que dentre todas as atividades que envolvem animais,o rodeio é o que tem o menor numero de incidentes com os animais.
2;esquece minha amiga,,voce não acompanhou a seção,,os ativistas e seus argumentos foram derrubados,,fique a par do que esta acontecendo por favor,,vai providenciar de mostrar seus animais pra gente. ana dos animais,,agora mais do que nunca queremos conhecer seus animais
3;"Quem critica não conhece,quem conhece "" ama "" "
1;Parabéns povo sertanejo,aprovado na camara dos deputados o projeto de lei..
1;quem conhece sabe que rodeio não maltrata,,por isso foi aprovado o projeto de lei como patrimonio cultural.
1;Parabéns pela vitória capitao augusto,seu nome sera lembrado com muito carinho pelo povo sertanejo,,com certeza essas pessos contra nunca viram de perto nem como vivem e nem como são tratados animais de rodeio.
2;mas não foi,,então respeite quem gosta
3;Interagimos e comemos animais a milhoes de anos e vamos continuar interagindo e comendo a mais milhares de anos,quem não gosta, respeite quem gosta,,conheçam antes de criticar,interagir não significa maltratar
1;Velu capitao,projeto aprovado na camara,,com certeza todos esses ativistas contra nunca viram de perto como vivem e como são tratados esses animais..
3;graças ao depoimento de pessoas sem noção como o senhor sergio augusto,o projeto foi aprovado na câmara do deputados,,aprendam,conheçam de perto antes de falar.. em um congresso mundial realizado na cidade de barretos,dentre todas atividades que envolvem animais,o rodeio é o que tem o menor numero de incidentes..
4;realmante esses comentários são de quem nunca viu de perto,,por isso ja foi aprovado na camara dos deputados,justamente por conta desses depoimentos de quem nunca viram de perto,, esses depoimentos só ajudaram o projeto a ser aprovado,depoimentos de pesoas como a senhora madleine que nunca deve ter visto um animal desse de perto.
2;indefesos estão os humanos nesse país onde se morre uma pessoa a cada dez minutos.
2;o problema é seu do que voce gosta ou deixa de gostar,vai procurar sua turma
1;GRAÇAS AOS BEM INFORMADOS O PROJETO FOI APROVADO NA CÂMARA DOS DEPUTADOS COM A MAIORIA DOS VOTOS..PARABÉNS CAPITAO AUGUSTO
2;"Uns dois meses já sem olhar isso aqui... Mas os comentários contínua as mesmalladainhas, de pessoas sem conhecimentos, somente pessoas de ""achismo"" e porque não gostam.... Mas enquanto isso na Câmara que é onde importa o projeto está indo de vento e polpa, sendo só aprovações!!!! "
3;homens se interagem com animais desde de sua existência e vão continuar interagindo por mais muitos anos,porque sera que ninguém vem aqui dizer odeio hipismo,odeio exposições e corridas de cachorros,odeio ongs que prendem centenas de cachorros em canis como prisão perpetua,deixem os rodeios em paz,,ou conheçam de perto como vivem e como são tratados esses animais.. Parabéns pela vitória na câmara dos deputados.
3;E dai,,problema seu,,cada um gosta do que quer,,alguém faz alguma com seu dinheiro seu babaca,,com essa carinha vai saber do que voce gosta,,mas tambem nao tenho nada contra ,cada um gosta do que quer.
1;Sabias palavras no debate capitão,,parabéns pela vitoria na camara.
3;"Parabéns Capitão por ter ido conhecer de perto antes de fazer o projeto,pessoas contra, nunca foram conhecer por isso falam tanta besteira.quem não conhece critica,quem conhece "" ama "" "
1;Parabéns pela vitória Capitão Augusto,, quem conhece sabe como são tratados esses animais
1;Parabéns Capitao.
1;Projeto aprovado na camara dos deputados,somos um pais rural,com rebanho de 210 milhoes de cabeça de gado,somos um país agrícola,,nada mais justos que apoiar o povo do campo
2;Graças aos leigos que só falam coisa que não sabem o rodeio foi aprovado na camara dos deputados,, avante capitão augusto conte com nosso voto
2;pessoas vem aqui falar em modernidade da humanidade em que modernidade ,,pessoas estão sendo mortas por um celular,moramos em um pais que crime mata mais por dia que o confronto entre israel palestina,no brasil morrem 143 por dia contra 66 no confronto. parabéns por olhar para o povo sertanejo
3;Parabéns Capitão ,leigos que são contras nunca tiveram perto de animal e não sabem o que estão falando
2;só um imbecil como voce pra achar que esses animais são maltratados
2;que pais moderno é esse que voce está morando,onde uma pessoa é assassinada a cada dez minuto,,prefiro o brasil rural antigo.
4;Rumo ao Senado, reduto do agronegócio logo...
1;muito bom seu depoimento na camara dos deputados capitão,, valeu pela vitória
1;PARABÉNS CAPITÃO AUGUSTO,JAMAIS ESQUECEREMOS SEU NOME
1;Parabéns Capitão Augusto
1;Parabéns pela vitoria na camara capitao augusto,, estaremos sempre do seu lado
3;Parabéns Capitõ,moramos em pais rural,o segundo maior produtor de carne do mundo e as pessoas vem querer proibir atividades que vem do campo.
1;Parabéns pelo empenho Capitão,o poco sertanejo está do seu lado
1;Aprovado o projeto na camara dos deputados,,parabens capitao augusto,quem conhece sabe que os animais de rodeio são mais bem tratados que muitos humanos nesse pais
1;PARABÉNS CAPITAO,APROVADO NA CÂMARA DOS DEPUTADOS O PROJETO DE LEI,, MUITO SÁBIAS SUAS PALAVRAS.
3;Valeu Capitão Augusto,parabéns pela vitoria,,ativistas que estavam presente não sabiam nem diferenciar mula de eguá.. vamos aprender antes de debater.
1;Parabéns Capitao Augusto,aprovado o projeto de lei na camara dos deputados.O povo sertanejo esta do seu lado
4;onde ? nas mesa de churrascarias ou no filé mignhon que voce come
4;Em um congresso mundial entre ativista e amantes do esporte realizado na cidade de barretos,foi descoberto que entre todas atividades que envolvem animais,o rodeio é o que tem menor numero incidentes com os animais..Aprendam,conheçam antes de criticar.
1;Foi aprovadooooooooooooo o projeto passou na camará dos deputados, parabéns capitão Augusto, parabéns amigos do sim !!! Quem conhece sabe que rodeio não maltrata!! Chupa essa manga povo do contra
1;Animais de rodeio são tratados como atletas.
1;Rodeio legal não maltrata animal !!
2;SOCIEDADE PROTETORA DOS ANIMAIS QUER PROIBIR RODEIOS , SAEM DO ARMARIO AGORA E DIGAM ALGUMA COISA QUE PRESTE https://www.facebook.com/photo.php?fbid=1203156436367662&set=a.222199224463393.74094.100000199511663&type=3
2;por isso que nunca vai ser barrado,por depoimentos de leigos como voce que o esporte só cresce,aprenda antes de falar
4;tenho animais de rodeio e estao a disposição para quem quiser conhecer de perto como vivem e como são tratados.
3;Interagir com animais não significa mal tratar animais,,quem critica não conhece,quem conhece ama.
1;QUEM CRITICA É POR NUNCA CONHECEU DE PERTO,RODEIO TRATA ,RODEIO CUIDA ANIMAIS SAUDAVEIS COM VIDA LONGA.
3;Pessoas leigas vem falar em maus tratos sem nunca terem visto um animal de rodeio de perto,,por isso o projeto do capitao só esta passando de fases ,cada vez mis perto de ser aprovado.
