;Classificação Vinicius;Classificação Higor;Comentario
;4;5;Tiririca. Pior que está não fica!!!
;3;2;Eu creio que até 2018,  este sr frio já tenha sido expulso de " casa "!
;3;4;Duvido plenamente nessa crendice de que chegará em 2018. Pode até chegar mais longe da presidência.
;2;2;Tomara que morra antes...
;2;2;Rodrigo Maia fala em país sério... E o Brasil é, por acaso, um país sério? Não. Obviamente que não! É um país com problemas sérios e uma cambada de farsantes fingindo que trabalham para solucioná-los. Na verdade, tentam roubar o máximo que conseguirem enquanto atendem as vontades de seus senhores, os patrocinadores de suas candidaturas.
;1;4;Quem pegar a locomotiva em 2018, encontrará um Brasil crescente e seguindo nos trilhos.
;2;2;FORA TEMER  !!!!!!!
;4;5;QUANTAS MALAS DE DINHEIRO ATÉ 2018,PARA A TROCA DO REAL PARA CRUZEIRO.
;4;2;Temerario é ver O MERCADO blindando o Temer
;2;2;Só se você estiver na cadeia presidente!!
;4;5;KKKKKKKKKKKKK
;1;4;QUE O STF QUEBRE O SIGILO DO TEMER E DO AÉCIO.
;2;2;Espero que dia 06 você seja cassado! Não merece permanecer no cargo de Presidente!
;2;2;Idoso canastrão, cleptomaníaco e mentiroso.
;4;4;Já passamos do fundo poço. O que nos aguarda é o desconhecido.
;4;5;Buraco negro
;2;2;bom dia a todos país de otarios... o kra me coloca seu proprio advogado no comando do ministerio da justiça tetando se defender do bombardeio que esta por vir, e o povo ahhh o povo que se fo...
;2;2;amigo, Temer veio do mesmo pote q sua antecessora, mas nao é diferente, ele é tao igual, pelo menos este senhor tentou ajudar a economia, mas tenta desesperadamente "reformar" algo com um congresso sujo ate a alma.
;2;2;Realmente.. Temer eh limpo que nem a tua traseira
;2;2;O Brasil não pode mais deixar esses B AN DI DOS da MAÇONARIA no poder!
;4;5;Já coxinhas maçônicas so' saem com fórceps.
;2;2;vc quer os bandidos da universal?  
;1;2;EM QUALQUER LUGAR DO MUNDO O TEMER JÁ TERIA CAÍDO . MAS NO PAÍS DO FAZ DE CONTA  ...
;1;4;Num país sério, nem deputado seria.
;1;4;Não só ele! Todos eles!
;2;2;Dia 06 é dia de fora temer !
;2;2;O pipoqueiro se acha empresário...... kkkkkkkkkkk
;1;4;Se o cara faltar do trabalho, nada mais justo que descontar do salário dele, mas todos tem o direito de militar para quem e para o que quiser... Demitir alguém por causa disso é só falta de ética mesmo
;2;2;Fora Temer, diretas já ...
;1;4;Marcos, já tivemos a oportunidade em 2014, agora temos que seguir a constituição e aguardar ano que vem para novas eleições. Para de querer contornar isso, vocês querem o Lul4, só isso. Famoso "pai dos pobres".
;1;4;Desde de quando..os tres poderes respeitam a Contituiçao,nesse Brasil,a constituiçao,sempre sofre com emendas,projeto de leis,em detrimento deles,nao do povo.Nao,lembram dos juizes,que rasgaram a costituiçao,para ganharem acima do teto do stf,50 e 100 mil!
;1;4;Claro que não será, colocando um ministro da justiça para atrapalhar as investigações contra ele e um ministro do STF sendo manipulado, assim, até Fernandinho Beira Mar.
;5;2;É melhor do sair aí falando que vai ensacar o vento !!!!!
;2;2;Espero que no fim de 2018 vc esteja preso!
;2;5;KKKKKKKKKKKKKKKK , esse tem que trabalhar em circo mesmo 
;4;5;Digo o Temer 
;2;2;SE ALGUEM AI QUIZER E' SO PEGAR UMA BAZUCA E EXPLODIR O PALACIO DO PLANALTO
;3;2;ESPERO QUE A PF SAIA COM O TEMER DO PALÁCIO DO PLANALTO ALGEMADO,E DESCENDO A RAMPA,PARA O POVO VER QUE TEMOS JUSTIÇA.  
;4;5;Seria lindo demais !!!
;2;2;Temer, você vai chegar em 2018 vendo o sol nascendo quadrado!!!!! 
;3;4;Menos Manuel ele é parlamentar aqui é Brasil e não Coreia do Sul 
;3;4;É o desejo de todos, mas ele chegará em 2018 com no MÁXIMO uma tornozeleira, no máximo. Pq eu acredito que chegará livre, leve e milionário.
;2;2;FORA GOLPISTAS! DIRETAS - JÁ
;5;2;Diretas Já só depois que o Papai Smurf for pro xilindró ou tornar-se inelegível.
;1;1;Fica Temer!!
;2;2;esse temer é um moleque ,, vc é moleque temer vc é moleque .. fanfarrão desgraçado.
;3;4;governantes que não pensa no povo, aliás só duas vezes  a cada quatro anos.....por isso só voto nulo ...ninguém me representa.
;2;2;TEMER não é  moleque, ele é  um Genocida, acabando com nossos direitos pra beneficiar Empresários CORRUPTOS. 
;2;2;Seu Golpista Ladrão voce não quer largar o osso né?Ainda quer roubar mais?
;2;2;//votei na chapa que ele fazia parte, mas nao fui pra rua, para colocar ele no poder, sem razao alguma. golpista//
;2;5;ela é retardada....!!!!! VOTOU NO AÉCIO
;2;4;é mais que provável que esta imundice não vai largar o osso e renunciar, então cabe ao povo botar esse crápula pra fora do palácio onde ele acha que é a casa dele!!!
;2;4;Sabe qual é saída do Brasil tupiniquim? o Aeroporto!
;3;2;Os políticos tinham um acordo entre eles '' aquele que roubar mais que o outro será deletado''.
;4;5;Alessandro, menos vai!
;3;2;Hoje infelizmente o presidente Temer perdeu legitimidade para governar esse Brasil. O melhor para o Brasil é Temer renunciar e deixar que as regras constitucionais escolham um presidente para terminar esse mandato presidencial. 
;1;5;casa em ordem  em que pais isso vai acontecer  
;2;2;A suaa casa e mordem né LADRÃO?
;3;2;O Sr. Temer tá muito confiante que seu governo concluirá até 2018!?  Quem dera,  acredito que não chega nem no fim de 2017.
;2;2;Eu nao queria que chegasse nem ate o fim de junho..
;2;2;Acho que ele já  morreu, o enterro é que está  meio demorado.
;2;2;se continuar com essa impunidade, chegaremos sim no final, digo no fundo do poço em 2018, somos frouxos, medrosos, covardes, estamos assistindo os bandidos zombarem de uma nação inteira e não tomamos atitudes! até o exército está calado! até quando!
;4;5;Tiririca. Pior que está não fica!!!
;1;2;Eu creio que até 2018,  este sr frio já tenha sido expulso de " casa "!
;2;4;É inacreditável o que ocorre no Brasil. O presidente da república minando a operação lava jato. Em qualquer país serio já estaria preso.
;2;4; País Sério, disse  tudo, o BRASIL  é  uma PIADA,  se tratando de POLÍTICA.
;2;4;primeiro a gente tira a Dima...kkkkkk
;1;4;Sr. Presidente: com a sua presença ou não, chegou-se a conclusão que o nosso povo, em sua grande maioria, não depende de políticos, principalmente dos atuais, com raríssimas exceções, pouquíssimas em verdade. O que importa, hoje, é conscientemente, constatarmos que estamos prontos para o enfrentamento de todos as dificuldades. A prova disso são os 14 milhões de desempregados com todas as dificuldades imagináveis, superando-se nas condições de um país, infelizmente comandado por gente de sua LAIA,  que desmorona qualquer capacidade intuitiva.  
;3;4;O que é de impressionar é que,enchem a boca pra falar que eles é que estão tirando o país dessa pior,mas na verdade é o próprio povo.
;3;2;Vê se aprendam a votar pra Senador e deputado tbém. Fora PSDB, PMDB, dem , PPS, PP, PR... o povo tá vendo tudo e vcs vão ter o troco em 2018. Nos aguardem...
;3;5;Denis, não vemos corrupção em um só partido. Estamos vendo isso em TODOS. Mas diferente de vocês, não somos burros e cegos de não enxergar.
;4;2;e assumir..
;2;2;Fora Temer. Diretas já Brasil...
;2;4;Não estou falando disso, Lucia. Eu sei muito bem o que é PEC. Chamei de burros por eles acharem que a Dilm4 não cometeu crime nenhum.
;4;4;E chamar de presidentA.
;2;4;Não querendo ser pessimista mas já sendo, NÃO ESTOU VENDO NADA MUDAR NA ECONOMIA, SÓ PIORANDO.
;2;4;Empresas estão demitindo funcionários antigos com salários altos e contratando desempregados com salários de fome, sem falar no acúmulo de funções, onde trabalhava 6 hoje trabalham 4 ou 3, tamo é ferradoo.
;2;4;Ué... é apenas sua obrigação... Deveria falar: VOU CHEGAR AO FINAL SEM ROUBAR, SEM PERMITIR QUE ROUBEM,  E VOU PUNIR TODOS QUE ROUBAREM... ai sim...
;4;4;Ai ele se puniria tbm ! kkkkk
;2;2;Canalha a cadeia é pouco pra vc presidente de bosta .
;2;5;Pouquíssimo , José.
;1;4;Isto que é certeza da impunidade.
;2;4;AGLOBOQUERIATANDOESSELADRÃONOPODER..PORQUE????HUMMMEAGORASANTINHA...
;2;4;Migué  teme a policia federal
;2;2;fora temer
;1;2;Diretas já , divulguem os nomes e votos dos senadores ! 
;1;4;Vamos ficar de olho em mais essa armação.
;4;4;Segura essa ai espertão.
;1;2;Seletividade, justiça não julga crime, julga pessoas e partidos.
;2;4;G1ENFIEMOSCOMENTÁRIONASUABUNDA...FACISTASCOVARDES...
;1;4;Não dá pra continuar alimentando o mesmos sistema de governo e os mesmos agentes políticos. Procurem na internet e ajudem a compartilhar no zap o abaixo-assinado "Nova Constituição Anticorrupção com Democracia Direta Digital"
;1;4;O Brasil chega na linha de saturação da ma Governabilidade em todo o Pais se faz necessário a intervenção das Instituições das Forças Armadas para que possam reorganizar as instituições Politicas e Judiciarias e suas leis na  Ordem e no Progresso do Brasil
;2;2;O minimo que os batedores de panelas poderiam fazer para pedir desculpa pela defecada na democracia era enfiar o cabo da panela na rosca do dracula
;3;4;Quando ainda hover da classe Politica praticas desonestas com o dinheiro Publico facilitando Empresas fraudulentas em exerci-os haverá dificuldade de investidores  no Pais. 
;3;4; A historia se encarregara de que sejam desmascarados todos os inimigos da nação.
;2;4;E nós povão, temos direito a que mesmo?
;1;4;A justiça deve fazer uma limpeza no congresso nacional,retirar os suspeitos e colocarem os suplentes,só aí possa ser que melhore um pouco a situação do nosso Brasil.
;3;4;QUE FIM LEVOU. Jardim de infancia, grupo escolar, ginasio, colegio,  universidade, escolha do curso, a formatura, a festa comida as pampas e bebidas, o conjunto musical e as musicas da epoca, o primeiro emprego, o segundo emprego atraves do concurso publico, atraçao pela politica. e uma folha com perguntas feita pela policia federal, policia federal?
;1;5;VERDADE !!!
;2;4;DOIDIVANA QUE ME CALUNIA/ NAO SABE A AGONIA/ QUE PASSO E PASSEI/ TU ES DOIDA ES DOIDA VARRIDA/ E EU SEGUINDO NA VIDA/ COM ESTE QUESTIONARIO DA POLICIA/ ME ESTREPEI
;2;4;Acho que o STF deveria sofrer devassa!   Estão sabotando o País!   Jamais vai ter político honesto e jamais terá funcionário público que vista a camisa do patrão!  
;2;2;Esse canalha ainda vai rir da cara do oovo, q não faz por onde tirá-lo, dizendo q sempre esteve certo. Aí vai ser tarde demais pra correr atrás 
;2;2;Isso mesmo Sr presidente canalha! Se peitar o oovo vc acaba vencendo!!
;2;2;O presidente que temos (ou não) estar perdido. 
;2;2;Com B0LS0NAR02018 estes problemas ficarão no passado e o país poderá enfim voltar a crescer e melhorar!
;4;5;Quem o Tiririca!
;1;4;Precisamos de uma solução AGORA não em 2018!!! 
;2;2;PRESIDENTE, MALANDRO DEMAIS SE ATRAPALHA !
;2;4;Renuncia é mais Digno.'Impeachment já".
;1;4;Eu fico pensando e não consigo entender, o quê que o Sr. José Sarney, Dona Marta Suplicy, Fernando Henrique e tantos outros, estão fazendo enfiado lá nas repartições do governo? aposto que não é para ajudar.
;2;5;Geraldo , Sabe o que é Carniça não sabe , é isso que acontece , estão igual a URUBUS - Só esperando a carniça ser Liberada para eles fazerem o Banquete.
;2;4;Tentando uma vaguinha pra mamar ...
;1;4;Os advogados precisam de mais tempo, para arquitetar mentiras justificáveis no andamento do processo. Esse é o presidente que mais tentou encobrir erros com cortina de fumaça. Só tem um problema, a cortina de fumaça sai com o tempo.
;2;4;Impressionante a blindagem que tem um presidente da república do bananazil. Parece aqueles faraós que ninguém sequer podia olhar no rosto. Está acima do bem e do mal, intocável, por mais que sejam evidentes seus desvios e sua conivência com a corrupção.
;3;4;Mais impressionante Flávio, é ver a briga partidária entre os eleitores, enquanto o Brasil e os próprios afundam junto. Inacreditável!!! 
;3;2;Pois é Augusto , e por essas e outras que o CCJ aprovou diretas já para que o Filho do Brasil retorne...isso não e maravilhoso ?
;2;2;Deixou o Temer com as calças na mão, cagado...Se responder a verdade se compromete se não diz nada se enrola, mas, vai teimar até o fim...Principalmente se o 'pessoal' continuar nessa passividade...XÔ MICHEL JÁ!!!
;4;5;Papa, vc é crente e não pode jurar...
;3;4;Esse é o problema da democracia a maioria sempre vence, e a maioria é sempre pobre
;4;5;Pizza
;4;5;Edvaldo , e estragada 
;2;5;Aew A CPI do B N D E S começou!!! Foram 1.3 B I L H O E S PARA A   T E S E C I S durante os governos do P/T!! Vamos ver qual sera sua defesa para o seu ParTido sua Mavezinha PeTralhinha!!! 
;2;2;TEMER SÓ TEM UM DIREITO.....DE CAIR FORA!!!
;1;5;O cara só esta laskando com o pobre , popularidade dele é zero 100% de rejeição 
;2;5;Interrogatório por escrito! Esse é sinico e cara de concreto
;2;4;Onde já seu viu Senhores, um Presidente da Republica continuar presidindo, tendo que responder a um interrogatório? é indigno perante qualquer justiça desejada tal situação.
;2;4;Eh o fim da rosca mesmo...Presidente do Brasil sendo investigado pela P.F. em seu próprio território.
;2;4;O Temeroso vai exercer o direito de ficar calado, pois não tem nada que presta pra falar. Fora ladrão golpista!
;2;2;Tenho NOJO deste suposto presidente.
;2;4;A agenda do presidente é cheia, não pode perder tempo dando depoimento, mas na calada da noite ele pode arrumar um tempinho.
;2;2;Se ele decidir por não responder, então ele estará declarando que é de fato, CULPADO!
;2;2;QUE FIM LEVOU. Jardim de infancia, grupo escolar, ginasio, colegio,  universidade, escolha do curso, a formatura, a festa comida as pampas e bebidas, o conjunto musical e as musicas da epoca, o primeiro emprego, o segundo emprego atraves do concurso publico, atraçao pela politica. e uma folha com perguntas feita pela policia federal, policia federal?
;4;5;VERDADE !!!
;2;4;DOIDIVANA QUE ME CALUNIA/ NAO SABE A AGONIA/ QUE PASSO E PASSEI/ TU ES DOIDA ES DOIDA VARRIDA/ E EU SEGUINDO NA VIDA/ COM ESTE QUESTIONARIO DA POLICIA/ ME ESTREPEI
