1;2;3;Vejam bem, maioria dos homens apoiam. maioria de mulheres não. Homens tendem a serem lógicos, mulheres emotivas. Sera que mulheres acham que rodeios é judiação de animais? O que é claramente equivocado da parte delas. Como também isso se repete na PL3722, homens pensam logicamente, e são mais favorável ao cidadão ter menos restrições a armas de fogo para proteger seu patrimônio e sua família. Ja as mães, familiares, namoradas(os), principalmente de bandidos, acham isso um terror, por que qual mãe quer ver o filho bandido morto praticando um assalto? Logo são contra o direito das vitimas de si proteger do seu filho bandido. Vote consciente, vote com razão e não emoção! Brasil melhora rapidinho. 
19;3;2;Em virtude do apoio que as entidades de rodeio do Brasil, prestaram à prática cruel das vaquejadas, nas manifestações em Brasília e, devido aos últimos acontecimentos envolvendo os juízes da PBR norte-americana, em relação aos competidores brasileiros (nos roubam nas avaliações das montarias descaradamente) confesso minha decepção com o mundo do rodeio, muito embora seja minha paixão. Por estas e outras me retiro temporariamente, para melhor refletir. Boa sorte à todos.  
20;2;2;Pela primeira vez, tenho que concordar com o Sacoman. Finalmente ele fez um comentário sensato. O pessoal do rodeio foi em massa à Brasília,  apoiar esta imundície de vaquejada, com o argumento de defender esportes equestres. Ora, vaquejada é crueldade contra os animais, e crueldade jamais será esporte. Como defensor do rodeio profissional fiquei indignado com este apoio absurdo. Não deveriam ter associado à imagem do rodeio à esta insanidade daquí a pouco irão apoiar tourada, farra do boi, briga de galo, em nome de interesses financeiros. O rodeio não precisa de gente deste caráter. Depois dessa, preciso rever meus conceitos, urgentemente  
21;1;1;PARABÉNS CAPITÃO AUGUSTO,,PROJETO APROVADO NA CAMARA DOS DEPUTADOS E COM MAIORIA ABSOLUTA NO SENADO,,ISSO PROVA QUE NÓS SOMOS OS VERDADEIROS PROTETORES DOS ANIMAIS,,MEUS CAVALOS ESTÃO A DISPOSIÇÃO  PARA QUEM QUISER VER COMO VIVEM E COMO SÃO TRATADOS 
22;2;2;Pare de ser imbecil e aceite , que se foi aprovado é porque não é tao ilegal como vc imagina.saiba perder. 
23;4;4;ja te passei meu endereço,,ja te passei onde moro e meu apelido,,talvez vc esteja precisando vir aqui pra eu te dar o que vc está precisando..  não é o que vc pensou não,, é serviço  va procurar o que fazer e pare de pegar dinheiro de ong 
24;1;1;PORQUE SERÁ QUE QUEM CRIA UM GATO OU UM CACHORRO EM CASA ACHA QUE AMA MAIS OS ANIMAIS DO QUEM CRIA UM CAVALO OU UM BOI,,QUEM CRIA CAVALOS OU BOIS TAMBEM CRIAM GATOS E CACHORROS E QUEM INTERAGE COM ANIMAIS O TEMPO TODO COM CERTEZA AMA MUITO MAIS OS ANIMAIS DO QUE AQUELES QUE DIZEM SER PROTETORES DE ANIMAIS. NÓS SIM SOMOS OS VERDADEIROS PROTETORES DE ANIMAIS. 
25;2;2;Observando daquí o silêncio dos derrotados que, difamaram o rodeio. Não conseguiram provar a existência de maus tratos aos animais de rodeio e, tomaram uma lavada na votação do Senado. Quero ver se estes esquerdopatas comedores de alface, que fazem oposição ao governo Temer, terão coragem de implorar à ele, para que vete este Projeto.  
26;2;2;Porque sera que as pessoas só querem defender os animais que estao no esporte,,os animais que estao morrendo de fome e sede no sertao da paraiba e no nordeste,não animais ? aqueles sim estão precisando de ajuda. 
27;3;3;APROVADO: Senado Federal aprova rodeio como patrimônio cultural imaterial do Brasil. Só não comemoro mais ainda, porquê a vaquejada passou junto, eu amo rodeio mas, detesto vaquejada. Dedicado aos 31.240 votos fracassados, contra nós.  
28;6;6;Ironia: Projeto aprovado bem no dia internacional do veganismo.  
29;4;4;Se você for formada em Medicina Veterinária podemos conversar, caso contrario se forme e depois venha conversar. 
30;2;3;Ana Animais e, Luiz Paulo Sacoman Almeida são a mesma pessoa. Que feio, criar fake, prá usar de expediente sujo. Vocês não precisam disto afinal estão vencendo consideravelmente na pesquisa.   
31;4;4;queremos ir para campinas ver seus animais,, cade seus animais ??? ou vc é mais uma daquelas que pena dinheiro de ongs mas nao tem animais algum 
32;1;1;nos somos os verdadeiros defensores dos animais,,vcs são aproveitadores que vivem as custas de ongs,,nós convivemos e nos doamos para os animais,,animal maltratado fica feio e não rende e nem vive muito tempo,,quem cuida ama e quem ama respeita. 
33;1;1;UM PAÍS SEM CULTURA E SEM TRADIÇÃO FICA PERDIDO NA HISTÓRIA. 
34;3;1;agora a cultura brasileira,,ja esta amparada por lei,,,vamos atrás de acabar com os verdadeiros bandidos do brasil que assaltam bancos a luz do dia e  fazem até a policia correr,, não somos bandidos,,cuidamos e interagimos com animais e vivemos com eles como irmãos. 
35;1;2;Senhora ana,, va ajudar os animais que realmente estao precisando,,milhares deles estao morrendo de fome e  de sede no pernambuco e no sertao do ceara..os nossos ja mais bem cuidados que sua familia..  mostre seus animais pra nós vamos debater quais vivem melhor..venha conhecer os nossos e nos mostre os seus. 
36;1;1;se foi aprovado é porque,,nao existe esses maus tratos que os ativistas,, que fogem dos debates dizem ter.. porque sera que toda vez que tem audiencia publica os ativista e seus argumentos vão embora antes de terminar. nos somos os verdadeiros defensores dos animais,,porque criamos e convivemos com eles. 
37;2;2;ANA DOS ANIMAIS QUE NÃO CUIDA DE ANIMAIS,,ATÉ S ANIMAIS DELA SÃO DELA SÃO DE MENTIRA  
38;4;4;VC COM CERTEZA USA REMEDIOS CONTROLADO E ELES DEVEM ESTAR EM FALTA. 
39;2;2;porq vc não vai nas audiencias publicas e nos debates  expor suas ideias ,,fica ai atraz desse computador só dando palpite azedo 
40;3;3;Também reprovo a vaquejada, por que tenho sã consciência que, é prejudicial aos animais e, deve ser proibida mesmo. Quanto ao rodeio  amo,  defendo e, pratico, por que aquí nossos animais são tratados como atletas e, celebridades.  
41;3;2;quem é vc pra reprovar alguém,, fique no seu lugar,, capineira falsa protetora,,que nao protege nada,,não sao os animais de esporte que precisam de sua proteção esses ja são muito bem cuidados. 
42;2;1;ENTAO TEMOS A CERTEZA QUE VC FUMA MACONHA ESTRAGADA,,,QUAL BARRETOS SERA VC VIU,,, CONFORME SE-,,APROVADO NA CAMARA DOS DEPUTADOS E NO SENADO,,VC NÃO É NINGUÉM E NEM TEM LAUDOS TECNICOS QUE PROVE MAUS TRATOS,,NOS DO MUNDO SEETANEJO SOMOS RELMENTE OS VERDADEIROS PROTETORES,,VCS SÓ QUEREM GANHAR DINHEIRO DE ONGS. 
43;2;1;HIPOCRITA E IGNORANTE É VC DE FALAR COISA QUE NUNCA DEVE TER VISTO DE PERTO,,GRAÇAS A LEIGOS COMO VC QUE AJUDARAM A SER APROVADO TÃO RAPIDAMENTE..CONHEÇA INFORME SE ANTES DE FALAR EM TORTURAS  ESSE NÃO É SEU MUNDO,,FIQUE LENDO LIVROS E NÃO FALE COISAS SEM SABER. 
44;2;2;Rodeio tem seu público fiel. Não precisamos de platéia, quem precisa de platéia são os artistas que vivem as custas do rodeio. Onde tiver dois cavalos ou 20 touros pulando, nós estaremos lá. Você não entendeu o espírito da coisa, não nos interessa a quantidade de público.  
45;3;2;Este Projeto de Lei só não foi aprovado ainda, no Senado por que esta porcaria de vaquejada, está atrapalhando o rodeio, nem deveria estar no mesmo PL. Maioria dos senadores apoiam o rodeio,  mas,  desaprovam vaquejada. Se não fosse este estorvo, já teria sido aprovado à tempos.  
46;2;2;Porque sera que os ativistas acham que só eles amam os animais,,quem pagaria caro em um cavalo,,gastaria uma puta grana para mante-lo em uma baia,com ração cara,,gastaria tempo para cuida-lo ,,porque quem tem um cavalo nao tem folga,,tem serviço todo dia,,para depois maltrata-lo,,tenha dó.. 
47;1;1;Rodeio é patrimônio cultural e econômico!  
48;4;4;Alguém sabe se essa Ana dos animais toma algum remédio controlado ?? 
49;4;4;Gardenal com uma dose de 51, de 8 em 8 hrs.  
50;2;2;nossa que mulher  louca,,, que vc anda tomando ????? 
51;1;1;Sou Medico Veterinário, mestre e doutor em Ciências Veterinárias, professor do Bem-estar Animal e apoio o rodeio e provas equestres e digo que a cultura nunca ira acabar por mais radicais incultos exista não vamos deixar isso acontecer. #soumaisrodeio  
52;1;1;A CULTURA de uma nação e sua TRADIÇÃO, jamais poderá acabar, tantas coisas para se PREOCUPAR, e ainda querem DESEMPREGAR milhões de brasileiros que vivem dessa cultura e desse ESPORTE.  Isso e um ABSURDO. 
53;2;3;Sacoman está de volta com seu fake. Viva o rodeio em touros e cavalos. E, que as vaquejadas e, as touradas sejam banidas da face da terra elas denigrem a imagem do rodeio, pois têm "ativista" de lan house, que pensa que é a mesma coisa.  
54;2;2;Fake de Campinas, hein Sacoman!?  Coincidência? Nem disfarça né.  
55;3;2;qual barretos será que vc foi ?? o que eu fui arrecadou 11milhoes e meio para o hospital do cancer e não tinha onde sentar na final,,jaguariuna a 100 reais o ingresso acabou no ultimo sabado,, sera que vc anda tomando remédio controlado,,ou alguma outra coisa alucinógena ?? 
56;2;2;QUAL BARRETOS SERA QUE ESSA ALUCINADA VIU ??????????,,CUIDADO COM MACONHA ESTRAGA HEIN !!!!!!! 
57;4;4;sera que vc esta bem ??? 
58;2;2;4 agencias bancárias  assaltadas   simultaneamente  e um polícia expulsa da cidade essa noite em capivari sp,,e as pessoas achando que os criminosos desse país são os vagueiros.. um verdadeiro cangaço, e os vagueiros que são tratados como criminosos . 
59;2;2;com certeza as pessoas que falam aqui não sabem nada do mundo no campo,,ainda acham que apertam saco de boi,,outra falou que colocam cacos de vidros no anus dos cavalos,, se continuarem a falar isso ,,só vai ajudar pra que nunca acabe,, 
60;3;1;7 h · Ele fala em fiscalização e bem-estar animal como prioridade! Sou contra a proibição, mas endosso a luta por fiscalização! Devemos, realmente, refletir sobre a vaquejada, ao invés de sermos veementemente contra. Existem diversas instituições que estão se armando com distorção de informações e manipulando quem não analisa profundamente ou não participa do meio. Muito progresso já fora implantado para melhoria do bem-estar animal nas competições formais. Muitas alternativas e tecnologia, ciência estao aí pra evitar radicalismos, proibições e extremismos que afetariam a economia, geraria mto desemprego e desqualificação profissional de pessoas que sabem apenas viver da lida com esses animais. Temos que evoluir, fiscalizar e propor soluções, conhecendo profundamente cada questão antes de abolir um esporte que movimenta tanto a economia, o mercado equestre e que faz parte da história. Como disse no meu post, se a cada sinal de falha humana no trato animal houver proibição, o que será feito de todo o plantel nacional que super atletas? Quem irá sustentar esses animais? Que será feito deles? Ficarão largamos nas margens de estrada como jegues no Nordeste? As ONG manterão a dieta cara e treinamentos pelo bem estar? Terão, senão, um santuário que fornecerá trato e alimento pra esses animais que nunca souberam nem pastar? Ou serão legalizados abatedouros, controles populacionais e consumo da carne? Parece aberracional, mas o laço já foi proibido, três tambores tb está sofrendo severos ataques e criticam o hipismo tb. Em contra partida, animais mecânicos, protetores de caudas, fiscalização, fazer a corrida e não A derrubada do boi.... Tantas são as alternativas a serem estudadas que um posicionamento agora poderia causar um dano que ninguém está prevendo a longo prazo. Peço desculpas pelo intromissão, mas como somos todos amantes do cavalo e dos animais, eh importante que nos unamos pra ter a liberdade de discutir opinioes diversas, e chegarmos juntos a um denominador comum. A comunidade do cavalo é segregadora, e é por isso que somos um alvo muito vulnerável de algo que ainda não estamos prevendo. Obrigada pela atenção. PS: sou filha de criador de gado, vegetariana por isso mesmo. Acho que uma vaca merece o mesmo amor que um cavalo. A vaquejada eh pratica comum entre vaqueiros, necessária em climas e vegetações hostis, severas e de difícil controle animal. Já presenciei a derrubada por necessidade, e se feita com critério e conhecimento, não gera mal algum. Meu pai tem cri gado há 30 anos. Nunca perdeu uma cabeça por derrubada indevida. Abraços 
61;1;1;Vivi 11 anos montando em touros e só ví bons tratos. Diferente é o tratamento para o comércio de carnes que visa somente $ e no fim o animal é sacrificado num estress total para encher nossas barrigas, inclusive para aqueles que não gostam de rodeio mas, comem carne. Animal de rodeio pessoal é muito sortudo por ter pessoas que cuidam deles  e no final da vida tem o descanso  merecido! Animal de rodeio é sem dúvidas um atleta que não será sacrificado para encher nossas barrigas.  
62;2;2;Tortura é vc ser contra algo que levara muitos animais para o abate e deixará muitas pessoas sem trabalho. 
63;2;2;E O QUE VC CONHECE DO CAMPO CAMPO OU DO MUNDO RURAL,PRA VC FALAR O QUE É E O QUE NÃO É TORTURA,,VC SABE COMO FAZ UM INSEMINAÇÃO ARTIFICIAL ??.. PRA VC VAI SER UMA TORTURA PAR O MUNDO RURAL UMA PRATICA DIARAIA. 
64;5;4;eu trocaria com um cavalo atleta e vc poderia trocar com os que fazem inseminação. 
65;2;2;SUA IDIOTA,,VAMOS O SEU SACO DO SEU PAI,,QUANDO  E ONDE VC VIU UM ANIMAL DE SACO AMARRADO ? 
66;2;2;QUEM É VC PRA CHAMAR ALGUÉM DE BOSTA,,QUEM É VC ??,VAI PROCURAR SUA TURMA 
67;2;2;bosta deve ser quem te criou,que nao soube te dar educação. 
68;2;2;bosta deve ter sido sua educação,com certeza não foi criado por gente do bem. 
69;1;1;Totalmente favoravel até porque quem realmente trata desses animais somos nós do rodeio vaquejada e etc porque se depender dos "Falsos Protetores" eles estariam em situação bem pior, vc que não conhece vá até um rodeio ou uma fazenda conheça como esses animais atletas são tratados depois tire suas conclusões. 
70;6;2;A roubalheira que esta em nosso país (que vai de ladrão de celular, até ladrão de cofres públicos), e você mandando os vaqueiros ganharem dinheiro sem explorar?! Fica ai o questionamento rsrs 
71;1;1;Percebi que você copiou a opinião de outra pessoa e colou aqui (pessoa essa que também não sabe o que ta falando). Amigo, toda vaquejada hoje existe um Médico veterinário, quando o vaqueiro esta saindo da pista, ele analisa e cavalo e também o boi (principalmente a cauda), se houver indicios de maus tratos o vaqueiro é desclassificado. É uma pena que quem ta julgando essas leis são deputados que nunca sairam de uma sala de escritorio, mas tenho certeza que se conhecessem o esporte viam que não existe nada disso que falam nas redes sociais. abraço  
72;2;2;e quem é vc pra querer que alguem se foda,,deve ser mais animal que os animais,,ou daqueles que é contra os rodeios e favor de casamento entre homens. 
73;3;2;EU PENSO ASIM NÃO SÓ POR EU VIVER NO MUNDO DO RODEIO MAIS SIM AS OUTRAS PESSOAS TEM Q RESPEITAR O GOSTO DE CADA SER HUMANO E NÃO SE METER ONDE NÃO DEVE QUEM NÃO GOSTA FICA NO SEU CANTO VÃO ATRAS DO QUE VOCES GOSTAM E RESPEITA AS NOSSO TRABALHO OBRIGADO  
74;4;2;e onde é o canto dos animais,,no frigorífico,,vc sabe pra onde vão os animais que não vao para o esporte.. ou vc vai proibir o mundo de comer carne também, 
75;2;2;o mesmo animal que vc quer que vá para seu canto,,vira o creme de corpo que vc usa,,o detergente que lava sua louça  ou a ração que seu cachorro come.. vai te catar cuide da sua vida e aprenda mais sobre o campo.. 
76;4;2;e quem te disse que cachorros foram feitos pra viver fechados dentro de casa e tratados como humanos,,e nem por isso é proibido criar cachorro fechado em casa,,homens e animais se interagem e milhoes de anos,,nao fale coisas sem saber interagimos e comemos animais a milhoes de anos e vem vc aqui querer acabar com essa interação.interagir nao significa maltratar. 
77;1;1;Parabéns capitão pela inciativa, #eu apoio vaquejada SIM. 
78;2;2;NA INSEMINAÇÃO O VETERINARIO ENFIA O BRAÇO INTEIRINHO NO ANUS DA VACA E AINDA ELA GOSTA,,,CADA COISA É CADA COISA  VC NAO ABE NADA DO MUNDO RURAL,,COM CERTEZA VC É CONTRA A VAGUEJADA E FAVOR DA LIBERAÇÃO DA MACONHA. 
79;4;2;A PESSOAS USAM COMO ARGUMENTO QUE OS ANIMAIS NAO PEDEM PRA IREM PARA O ESPORTE,,MAS ALGUEM ACHA QUE OS SÃO DESTINADOS AO ABATE PEDEM PARA IREM PARA O AÇOUGUE,,OS CACHORROS DE RUAS PEDEM PARA SEREM CASTRADOS,,OS BEZERROS MACHOS EM FAZENDA DE LEITE PEDEM PRA SEREM SEPARADOS DAS MAES NO DIA QUE NASCEM E SEREM ABATIDOS ANTES DE 5 MESES DE IDADE ?? 
80;2;1;tem que ser muito babaca mesmo pra nao saber que regulamentar é muito que melhor que proibir,na ilegalidade é tudo muito mais mal feito,,acabar não vai,,quem gosta vai continuar fazendo ou vc vai proibir,,o trafico é proibido no brasil e tem em qualquer esquina do brasil, a prova de laço,foi proibida e por acaso acabou ???????????????? 
81;1;1;Os animais de rodeio tem uma alimentação e um tratamento melhor que o seu, amigo! 
82;2;1;as pessoas nao entendem que se legalizar tem como fiscalizar,, na clandestinidade ,nao tem como fiscalizar,,nao precisa de medico veterinario responsavel  nem de exames de sanidade,,e vão continuar mesmo asim,,quem gosta de interagir com animsi vai continura interagindo  u vcs acham que vai ter policia 24 horas,,procurando provas pelo brasil a fora,,nao cuidam nem de nossa segurança. 
83;4;4;CADA UM TEM A CULTURA QUE QUER,,UNS ACHAM QUE CULTURA É PODER CASAR HOMEM COM HOMEM,MULHER COM MULHER,,OUTROS TOMAM SANTO DAY,OUTROS ACHAM QUE DEVEM LIBERAR A MACONHA,OUTROS MATAM ANIMAIS PARA SERVIR OS SANTOS,,JA PENSOU SE TUDO FOSSE VIRAR DEBATE. 
84;2;2;procurar emprego onde ?? somos mais 12 milhoes de desempregados,,moramos em pais que vive uma catrastrofe na segurança,,um verdadeiro cangaço da era moderna,,bandidos mandando no pais,,mais de 1200 carros roubados todo dia,,uma pessoa assassinada a cada 10 minutos,15 crianças vitimas de violencia a cada hora,o crime mata por dia no brasil que o confronto entre israel e palestina,,vcs vem aqui querer acabar com esportes equestres onde,,vao vcs procurar o que fazer antes que alguem te mate por um par de tenis ou um aparelho celeular.  
85;2;2;covarde é vc de falar uma coisa que nunca viu de perto e nem tem noção de como funciona 
86;2;2;doente e sem  educação é vc,,lave sua boca antes de chamar quem vc não conhece de doentes e covardes,,quem compraria um cavalo caro,gastaria tempo e dinheiro pra trata-lo pra depois ficar maltratando,,o que sabe vc da vida no campo,,tire sua bunda do sofá e venha conhecer de perto antes de ficar falando bosta sem conhecer,,cuide da sua vida e aprenda educação,,com certeza deve ser patricinha de cidade e mal educada. 
87;2;2;VÁ VC PROCURAR O QUE FAZER,NÃO VAMOS NA SUA CASA TE FALAR O QUE VC TEM FAZER OU COMER,COVARDE E DOENTE DEVE SER VC DE COMENTAR COISAS QUE NUNCA VIU DE PERTO.SE JA VIU NOS FALE E QUANDO VC COMO VIVEM E COMO SÃO TRATADOS ANIMAIS ATLETAS ?? 
88;2;2;A roubalheira que esta em nosso país (que vai de ladrão de celular, até ladrão de cofres públicos), e você mandando os vaqueiros procurar emprego decente?! Fica ai o questionamento rsrs 
89;2;2;E OS ANIMAIS,QUE SÃO USADOS PARA VAGUEJADA  ,VÃO PRA ONDE,,PRA SUA CASA OU SERÃO SOLTOS PELAS ESTRADAS PARA MORREREM COMO OS JEGUES QUE MORREM CENTENAS DELES TODOS OS DIAS ATROPELADOS PELAS CIDADES DO NORDESTE. 
90;2;2;vc ja visitou um frigorifico,,é pra la que vao os que nao vao pra vaguejada,,se não conhece deveria conhecer. 
91;6;2;VC ACHA QUE VAI PRA ONDE OS QUE NÃO VAO PRA VAGUEJADA,,PARA UM PARAISO PERDIDO,,OU PARA UM ZOOLOGICO ?? 
92;2;1;Não julguem sem conhecer!! Será que essas pessoas que votaram NÃO, são todas vegetarianas? Ou não usam sapatos e bolsa de couro? A vaquejada moderna é um esporte muito bonito e não existem maus tratos, na mesma areia que cai o boi, também cai o vaqueiro!!! 
93;1;1;Eu aceitaria ser puxado e derrubado sim!! mas com uma condição... Se você fosse pro matadouro!! eles também não escolhem morrer para servir de alimento.  
94;2;2;nenhum boi pede pra ser castrado antes de morrer,,nenhum boi pede pra ser levado pra o frigorifico,,ou vc conhece quem se alista para ir ao abatedouro.. 
95;1;2;Percebo a diferença sim, amigo! só em eles serem animais, e nós humanos ja existe diferença. Mas se o vaqueiro esta sujeito a cair, ser pisado por eles, e mesmo assim participa do esporte, é porque sabe que não há problema em cair em um colchão de areia.  
96;2;2;Sacoman cadê você menina? Me ajuda aquí, o debate pegou fogo novamente, escreve alguma coisa aí, sem você não tem  graça. Elogie a Alexia Dechamps. 
97;3;3;É isso aí mané, dane -se a vaquejada só não fale mal do rodeio. Blz?  
98;2;2;É SUA CARA ACHAR VAGUEJADA RIDICULA,, 
99;2;2;começando por vc,,pragas do seu tipo ja estamos enjoados de ver 
100;2;2;animais inocente sao mortos aos milhares todos os dias pelos frigorificos do brasil,,vc nao come carne,mas nos comemos 
101;2;2;onde mesmo vc vc viu um animal com saco amarrado ?? sadica e louca deve ser vc que fica pensando q boi tem saco amarrado. 
102;1;3;rodeiro e paixão quem não gosta não vai acabar com o rodeio não da primeiro informe sobre como os animais são bem tratados durante o rodeio antes de criticar  
103;2;2;otario  si oc foce um animal c ia preferi ir pro matador ou ser puxado de carroça ou ser uma estrela de rodeio com beins trato  
104;4;4;Na hora de comer carne se vira e vai comer alface. 
105;4;1;Você prefere liberação total dos animais  ? massa vamos deixar todos soltos e morrerem de fome como morrem todos os dias animais por maus tratos ? agora compare os animais dessas provas e das vaquejadas com qualquer outro animal que vive solto .. veja qual deles está mais saudável e forte ... 
106;3;1;E se for realmente proibido? Pra onde vão os milhares animais? Pois é, pro matadouro! Ou tão achando que alguém vai criar gado só por boniteza? E as pessoas desempregadas? Vão fazer o que? Arrumar emprego? Onde? O país tá falido! Acordem!! A proibição só é boa para o ego dos defensores, os que querem ser "santos" diante a mídia. Acabar com uma coisa que eles acham um problema, pra gerar dez vezes mais problemas, não é ser inteligente! Que isso não aconteça, se não o Brasil vai atirar no próprio pé! #EuApoioAVaquejada #EuApoioAsProvasEquestres #EuApoioORodeio  
107;6;6;'Gozado, porque os ''''defensores dos animais'''' não falam mal do carnaval ? afinal, eles usam as penas das aves para fazerem as fantasias, ai vocês não falam nada né ? porque sera ? Agora vim falar de um esporte aonde os animais são treinados, recebem um tratamento melhor do que o próprio ser humano ai vocês falam um monte, falando que mal trata, e as aves que foram mortas para arrancarem as penas para ''''curtirem carnaval'', e a costela, a picanha ? com certeza ja esta preparada para aquele churrasco...Vão procurar saber melhor antes de falar qualquer merda, vão  atrás  dos brete e perguntam para veterinários como é o tratamento dos animais de rodeio, perguntem para o fiscal o que pode o que não, e preste bem atenção onde são os genitais  do animal e onde fica o sedem '
108;3;3;Eu quero que a vaquejada se dane, e que seja mantida a proibição. Mas, deixem o nosso rodeio do Centro-Sul em paz.  
109;2;2;Povo abeia esse ai que se acha no direito de excluir  As prova de rodeio e outros esporte relacionado a esse tipo voçe sao uns alienados bando de escravos de uma midia sem noçao rodeio e vida e paixao maus tratos e idoso andar na rua e voçe que se diz um protetor dos animais nao nao levantar um dedo do pe pra ir ajudar ele entao bando de mizera vao acha outra coisa pra da azia por que oces aqui trmpa no farpado e volta de costa ..Tchau Brigado   
110;1;1;Quase todas as pessoas que são a favor, ao contrário do que você disse, são pessoas humildes, que preferem viver desse esporte ao invés de pegar as coisas alheias. A vaquejada não existe esses maus tratos que mostram nas redes socias, saia do ar condicionado e conheça antes de julgar. 
111;1;1;kkkk sem noçao demais pra onde vai os animais entao pro matador ? por isso nos estados unido   e melhor que aqui la rodeio e mais valorizado qui futebol 
112;1;1;Este projeto é de muita valia para aqueles que necessitam sustentar suas famílias, está tradição chamada Rodeio não pode morrer jamas. 
113;3;3;Zé Povinho burros. Não sabem nem a diferença entre rodeio e vaquejada e, querem dar pitacos. O que foi proibido é esta bosta de vaquejada, lá do Nordeste (graças a Deus). O rodeio segue firme no batidão, pelo Centro-Sul afora por que foi comprovado que não maltrata os animais.  
114;1;1;Simplesmente podemos definir estes esportes sendo a vida de milhares de pessoas, é dali que tiram o sustento das famílias, quem tem o mínimo de noção sabe como é dura a vida no nordeste devido ao clima seco e  é estes esportes que dão esperança a muitos que terão sempre comida na mesa, pensem nas famílias que vivem disso, nas crianças que têm o que comer porque estes esportes existem, é muito mais que ganhar ou perder, é viver ou morrer! 
115;1;1;EU APOIO A VAQUEJADA E TODAS AS PROVAS EQUESTRES ! 
